geoid,idx_row,idx_col,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,tri,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,downhill_fraction,dom_clock_dir,lstf_2016,lstf_2017,lstf_2018,lstf_2019,lstf_2020,lstf_2021,lstf_2022,lstf_2023,lstf_2024,lstf_2025,ndvi_2016,ndvi_2017,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_2024,ndvi_2025,ndmi_2016,ndmi_2017,ndmi_2018,ndmi_2019,ndmi_2020,ndmi_2021,ndmi_2022,ndmi_2023,ndmi_2024,ndmi_2025
122694,169,507,45.67488479614258,-89.51248931884766,71.49,-7.33,0.03,0.59,-0.05,-0.01,0.17,0.07,-0.01,"[75.12,70.77,70.09,73.12,67.75,65.58,79.77,75.26,69.68,67.79]","[0.61,0.58,0.72,0.81,0.39,0.53,0.70,0.71,0.33,0.56]","[0.19,0.11,0.39,0.40,-0.09,0.03,0.28,0.27,-0.12,0.26]",29.16,493.64,0,0,0,0,0,0,0,0.57,0.48,0.95,0.09,0.16,0.0,0,,75.12,70.77,70.09,73.12,67.75,65.58,79.77,75.26,69.68,67.79,0.61,0.58,0.72,0.81,0.39,0.53,0.7,0.71,0.33,0.56,0.19,0.11,0.39,0.4,-0.09,0.03,0.28,0.27,-0.12,0.26
122695,169,508,45.67488479614258,-89.51231384277344,71.39,-7.7,-0.04,0.6,-0.06,-0.01,0.18,0.05,-0.01,"[75.27,70.37,69.94,73.05,67.69,65.56,79.70,75.02,69.69,67.58]","[0.63,0.58,0.72,0.81,0.39,0.53,0.70,0.72,0.32,0.57]","[0.21,0.12,0.39,0.40,-0.09,0.02,0.28,0.28,-0.11,0.25]",29.63,494.11,0,0,0,0,0,0,0,0.56,0.5,0.95,0.09,0.15,0.0,0,,75.27,70.37,69.94,73.05,67.69,65.56,79.7,75.02,69.69,67.58,0.63,0.58,0.72,0.81,0.39,0.53,0.7,0.72,0.32,0.57,0.21,0.12,0.39,0.4,-0.09,0.02,0.28,0.28,-0.11,0.25
122696,169,509,45.67488479614258,-89.51213073730469,71.29,-8.02,-0.08,0.6,-0.06,-0.01,0.18,0.02,-0.02,"[75.41,70.10,69.80,72.97,67.64,65.53,79.63,74.81,69.68,67.38]","[0.64,0.59,0.73,0.81,0.40,0.53,0.71,0.72,0.32,0.57]","[0.22,0.12,0.39,0.40,-0.08,0.03,0.29,0.28,-0.10,0.24]",29.86,494.34,0,0,0,0,0,0,0,0.56,0.51,0.96,0.1,0.13,0.0,0,,75.41,70.1,69.8,72.97,67.64,65.53,79.63,74.81,69.68,67.38,0.64,0.59,0.73,0.81,0.4,0.53,0.71,0.72,0.32,0.57,0.22,0.12,0.39,0.4,-0.08,0.03,0.29,0.28,-0.1,0.24
122697,169,510,45.67488479614258,-89.51195526123047,71.25,-8.2,-0.08,0.61,-0.05,-0.01,0.19,0.01,-0.01,"[75.48,70.14,69.70,72.90,67.58,65.50,79.58,74.69,69.64,67.27]","[0.64,0.60,0.73,0.81,0.42,0.54,0.71,0.72,0.33,0.59]","[0.23,0.14,0.39,0.40,-0.06,0.04,0.30,0.29,-0.08,0.24]",29.55,494.03,0,0,0,0,0,0,0,0.55,0.51,0.96,0.1,0.13,0.0,0,,75.48,70.14,69.7,72.9,67.58,65.5,79.58,74.69,69.64,67.27,0.64,0.6,0.73,0.81,0.42,0.54,0.71,0.72,0.33,0.59,0.23,0.14,0.39,0.4,-0.06,0.04,0.3,0.29,-0.08,0.24
122698,169,511,45.67488479614258,-89.51177215576172,71.22,-8.31,-0.04,0.61,-0.01,-0.01,0.19,0.05,-0.01,"[75.50,70.31,69.60,72.84,67.52,65.48,79.54,74.61,69.61,67.19]","[0.64,0.60,0.73,0.81,0.42,0.54,0.71,0.72,0.34,0.63]","[0.23,0.14,0.40,0.40,-0.06,0.04,0.30,0.29,-0.09,0.28]",29.69,494.17,0,0,0,0,0,0,0,0.53,0.48,0.97,0.12,0.16,0.0,0,,75.5,70.31,69.6,72.84,67.52,65.48,79.54,74.61,69.61,67.19,0.64,0.6,0.73,0.81,0.42,0.54,0.71,0.72,0.34,0.63,0.23,0.14,0.4,0.4,-0.06,0.04,0.3,0.29,-0.09,0.28
122699,169,512,45.67488479614258,-89.5115966796875,71.21,-8.39,-0.0,0.62,0.03,-0.01,0.19,0.09,-0.01,"[75.52,70.54,69.50,72.81,67.47,65.49,79.52,74.55,69.59,67.12]","[0.64,0.59,0.73,0.81,0.42,0.53,0.71,0.73,0.35,0.67]","[0.22,0.14,0.40,0.40,-0.06,0.04,0.30,0.30,-0.11,0.32]",29.97,494.44,0,0,0,0,0,0,0,0.5,0.44,0.98,0.14,0.21,0.0,0,,75.52,70.54,69.5,72.81,67.47,65.49,79.52,74.55,69.59,67.12,0.64,0.59,0.73,0.81,0.42,0.53,0.71,0.73,0.35,0.67,0.22,0.14,0.4,0.4,-0.06,0.04,0.3,0.3,-0.11,0.32
122700,169,513,45.67488479614258,-89.51141357421875,71.21,-8.49,0.04,0.62,0.06,-0.01,0.19,0.14,-0.01,"[75.55,70.78,69.42,72.78,67.43,65.51,79.50,74.52,69.59,67.06]","[0.64,0.59,0.72,0.81,0.40,0.52,0.72,0.73,0.36,0.70]","[0.22,0.13,0.40,0.40,-0.07,0.03,0.30,0.30,-0.14,0.36]",30.36,494.84,0,0,0,0,0,0,0,0.49,0.4,0.98,0.15,0.25,0.0,0,,75.55,70.78,69.42,72.78,67.43,65.51,79.5,74.52,69.59,67.06,0.64,0.59,0.72,0.81,0.4,0.52,0.72,0.73,0.36,0.7,0.22,0.13,0.4,0.4,-0.07,0.03,0.3,0.3,-0.14,0.36
122701,169,514,45.67488479614258,-89.51123046875,71.24,-8.47,0.07,0.61,0.07,-0.01,0.19,0.17,-0.02,"[75.52,70.96,69.42,72.82,67.44,65.56,79.51,74.52,69.63,67.04]","[0.64,0.57,0.72,0.81,0.39,0.51,0.71,0.73,0.35,0.71]","[0.22,0.11,0.40,0.39,-0.08,0.02,0.30,0.30,-0.16,0.39]",30.79,495.27,0,0,0,0,0,0,0,0.49,0.38,0.98,0.16,0.27,0.0,0,,75.52,70.96,69.42,72.82,67.44,65.56,79.51,74.52,69.63,67.04,0.64,0.57,0.72,0.81,0.39,0.51,0.71,0.73,0.35,0.71,0.22,0.11,0.4,0.39,-0.08,0.02,0.3,0.3,-0.16,0.39
122702,169,515,45.67488479614258,-89.51105499267578,71.28,-8.4,0.11,0.61,0.06,-0.02,0.18,0.18,-0.02,"[75.44,71.10,69.47,72.89,67.47,65.63,79.54,74.56,69.68,67.05]","[0.64,0.55,0.71,0.80,0.38,0.51,0.71,0.73,0.35,0.70]","[0.22,0.09,0.39,0.39,-0.09,0.02,0.30,0.30,-0.17,0.40]",30.96,495.44,0,0,0,0,0,0,0,0.49,0.37,0.97,0.15,0.29,0.0,0,,75.44,71.1,69.47,72.89,67.47,65.63,79.54,74.56,69.68,67.05,0.64,0.55,0.71,0.8,0.38,0.51,0.71,0.73,0.35,0.7,0.22,0.09,0.39,0.39,-0.09,0.02,0.3,0.3,-0.17,0.4
122703,169,516,45.67488479614258,-89.51087188720703,71.32,-8.22,0.15,0.61,0.05,-0.03,0.18,0.18,-0.03,"[75.30,71.20,69.58,72.97,67.49,65.71,79.59,74.60,69.72,67.08]","[0.65,0.53,0.71,0.80,0.38,0.51,0.71,0.73,0.35,0.70]","[0.23,0.05,0.39,0.38,-0.08,0.03,0.29,0.30,-0.17,0.41]",31.3,495.78,0,0,0,0,0,0,0,0.5,0.36,0.97,0.14,0.3,0.0,0,,75.3,71.2,69.58,72.97,67.49,65.71,79.59,74.6,69.72,67.08,0.65,0.53,0.71,0.8,0.38,0.51,0.71,0.73,0.35,0.7,0.23,0.05,0.39,0.38,-0.08,0.03,0.29,0.3,-0.17,0.41
