geoid,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,idx_row,idx_col,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,slope,tri,downhill_fraction,dom_angle_deg
69927,30.810991287231445,-105.09745025634766,79.3,6.69,0.74,0.08,-0.01,0.0,0.02,0.06,0.01,"[82.80,78.16,79.92,68.79,77.80,74.13,97.72,71.55,72.63,89.49]","[0.10,0.11,0.12,0.07,-0.06,0.09,0.11,0.11,0.10,0.09]","[-0.06,-0.03,-0.03,0.11,0.18,0.05,-0.01,0.01,-0.01,-0.00]",25.17,1176.97,163,163,,,,,,,0.16,-0.36,-0.87,0.67,0.31,0.0,,0.18,0.49,247.04
69927,30.810991287231445,-105.09745025634766,79.3,6.69,0.74,0.08,-0.01,0.0,0.02,0.06,0.01,"[82.80,78.16,79.92,68.79,77.80,74.13,97.72,71.55,72.63,89.49]","[0.10,0.11,0.12,0.07,-0.06,0.09,0.11,0.11,0.10,0.09]","[-0.06,-0.03,-0.03,0.11,0.18,0.05,-0.01,0.01,-0.01,-0.00]",25.17,1176.97,163,163,,,,,,,0.16,-0.36,-0.87,0.67,0.31,0.0,,0.18,0.49,247.04
69928,30.810991287231445,-105.09740447998047,79.36,6.65,0.74,0.08,-0.01,0.0,0.02,0.05,0.01,"[82.86,78.25,80.02,68.95,77.80,74.18,97.75,71.58,72.67,89.51]","[0.10,0.11,0.12,0.07,-0.06,0.09,0.11,0.11,0.10,0.09]","[-0.06,-0.03,-0.03,0.11,0.18,0.06,-0.01,0.00,-0.01,-0.01]",24.23,1176.03,163,164,,,,,,,0.16,-0.36,-0.87,0.66,0.31,0.0,,0.19,0.5,153.66
69928,30.810991287231445,-105.09740447998047,79.36,6.65,0.74,0.08,-0.01,0.0,0.02,0.05,0.01,"[82.86,78.25,80.02,68.95,77.80,74.18,97.75,71.58,72.67,89.51]","[0.10,0.11,0.12,0.07,-0.06,0.09,0.11,0.11,0.10,0.09]","[-0.06,-0.03,-0.03,0.11,0.18,0.06,-0.01,0.00,-0.01,-0.01]",24.23,1176.03,163,164,,,,,,,0.16,-0.36,-0.87,0.66,0.31,0.0,,0.19,0.5,153.66
69929,30.810991287231445,-105.09735107421875,79.41,6.62,0.74,0.08,-0.01,0.0,0.02,0.05,0.01,"[82.91,78.33,80.12,69.11,77.80,74.23,97.78,71.62,72.72,89.53]","[0.10,0.11,0.12,0.07,-0.06,0.09,0.11,0.11,0.10,0.09]","[-0.06,-0.03,-0.04,0.11,0.18,0.06,-0.01,0.00,-0.01,-0.01]",23.08,1174.88,163,165,,,,,,,0.16,-0.36,-0.87,0.66,0.31,0.0,,0.19,0.48,194.44
69929,30.810991287231445,-105.09735107421875,79.41,6.62,0.74,0.08,-0.01,0.0,0.02,0.05,0.01,"[82.91,78.33,80.12,69.11,77.80,74.23,97.78,71.62,72.72,89.53]","[0.10,0.11,0.12,0.07,-0.06,0.09,0.11,0.11,0.10,0.09]","[-0.06,-0.03,-0.04,0.11,0.18,0.06,-0.01,0.00,-0.01,-0.01]",23.08,1174.88,163,165,,,,,,,0.16,-0.36,-0.87,0.66,0.31,0.0,,0.19,0.48,194.44
69930,30.810991287231445,-105.0973129272461,79.46,6.59,0.73,0.08,-0.01,0.0,0.02,0.05,0.0,"[82.97,78.42,80.19,69.17,77.80,74.28,97.82,71.67,72.76,89.55]","[0.10,0.11,0.12,0.07,-0.06,0.09,0.11,0.11,0.10,0.09]","[-0.06,-0.04,-0.04,0.11,0.18,0.04,-0.01,0.00,-0.01,-0.01]",21.98,1173.78,163,166,,,,,,,0.16,-0.36,-0.87,0.65,0.31,0.0,,0.21,0.48,228.91
69930,30.810991287231445,-105.0973129272461,79.46,6.59,0.73,0.08,-0.01,0.0,0.02,0.05,0.0,"[82.97,78.42,80.19,69.17,77.80,74.28,97.82,71.67,72.76,89.55]","[0.10,0.11,0.12,0.07,-0.06,0.09,0.11,0.11,0.10,0.09]","[-0.06,-0.04,-0.04,0.11,0.18,0.04,-0.01,0.00,-0.01,-0.01]",21.98,1173.78,163,166,,,,,,,0.16,-0.36,-0.87,0.65,0.31,0.0,,0.21,0.48,228.91
69931,30.810991287231445,-105.0972671508789,79.51,6.56,0.73,0.08,-0.01,0.0,0.01,0.04,0.0,"[83.02,78.51,80.25,69.21,77.80,74.33,97.86,71.72,72.81,89.58]","[0.10,0.11,0.12,0.07,-0.06,0.09,0.11,0.11,0.10,0.09]","[-0.06,-0.04,-0.03,0.11,0.17,0.03,-0.02,-0.01,-0.02,-0.02]",21.15,1172.94,163,167,,,,,,,0.17,-0.35,-0.88,0.65,0.32,0.0,,0.15,0.46,177.3
69931,30.810991287231445,-105.0972671508789,79.51,6.56,0.73,0.08,-0.01,0.0,0.01,0.04,0.0,"[83.02,78.51,80.25,69.21,77.80,74.33,97.86,71.72,72.81,89.58]","[0.10,0.11,0.12,0.07,-0.06,0.09,0.11,0.11,0.10,0.09]","[-0.06,-0.04,-0.03,0.11,0.17,0.03,-0.02,-0.01,-0.02,-0.02]",21.15,1172.94,163,167,,,,,,,0.17,-0.35,-0.88,0.65,0.32,0.0,,0.15,0.46,177.3
69932,30.810991287231445,-105.09721374511719,79.55,6.53,0.73,0.09,0.0,0.0,0.01,0.04,0.0,"[83.07,78.60,80.31,69.24,77.80,74.38,97.90,71.77,72.86,89.60]","[0.10,0.11,0.12,0.07,-0.05,0.09,0.11,0.11,0.10,0.10]","[-0.06,-0.05,-0.03,0.11,0.16,0.01,-0.02,-0.01,-0.02,-0.02]",20.69,1172.49,163,168,,,,,,,0.17,-0.35,-0.88,0.64,0.33,0.0,,0.15,0.43,107.18
69932,30.810991287231445,-105.09721374511719,79.55,6.53,0.73,0.09,0.0,0.0,0.01,0.04,0.0,"[83.07,78.60,80.31,69.24,77.80,74.38,97.90,71.77,72.86,89.60]","[0.10,0.11,0.12,0.07,-0.05,0.09,0.11,0.11,0.10,0.10]","[-0.06,-0.05,-0.03,0.11,0.16,0.01,-0.02,-0.01,-0.02,-0.02]",20.69,1172.49,163,168,,,,,,,0.17,-0.35,-0.88,0.64,0.33,0.0,,0.15,0.43,107.18
69933,30.810991287231445,-105.09716796875,79.6,6.5,0.72,0.09,0.0,0.0,0.0,0.03,0.0,"[83.12,78.69,80.36,69.27,77.81,74.44,97.94,71.83,72.91,89.62]","[0.10,0.11,0.11,0.07,-0.05,0.10,0.11,0.11,0.10,0.10]","[-0.06,-0.05,-0.03,0.10,0.16,-0.01,-0.02,-0.02,-0.03,-0.03]",21.03,1172.83,163,169,,,,,,,0.17,-0.34,-0.88,0.63,0.34,0.0,,0.22,0.5,157.81
69933,30.810991287231445,-105.09716796875,79.6,6.5,0.72,0.09,0.0,0.0,0.0,0.03,0.0,"[83.12,78.69,80.36,69.27,77.81,74.44,97.94,71.83,72.91,89.62]","[0.10,0.11,0.11,0.07,-0.05,0.10,0.11,0.11,0.10,0.10]","[-0.06,-0.05,-0.03,0.10,0.16,-0.01,-0.02,-0.02,-0.03,-0.03]",21.03,1172.83,163,169,,,,,,,0.17,-0.34,-0.88,0.63,0.34,0.0,,0.22,0.5,157.81
69934,30.810991287231445,-105.09712982177734,79.64,6.47,0.72,0.09,0.0,0.0,-0.0,0.03,0.0,"[83.18,78.78,80.42,69.31,77.81,74.49,97.98,71.88,72.96,89.65]","[0.10,0.11,0.11,0.07,-0.05,0.10,0.11,0.11,0.10,0.10]","[-0.06,-0.06,-0.03,0.10,0.15,-0.03,-0.03,-0.02,-0.03,-0.04]",21.53,1173.33,163,170,,,,,,,0.18,-0.33,-0.87,0.62,0.36,0.0,,0.22,0.5,203.39
69934,30.810991287231445,-105.09712982177734,79.64,6.47,0.72,0.09,0.0,0.0,-0.0,0.03,0.0,"[83.18,78.78,80.42,69.31,77.81,74.49,97.98,71.88,72.96,89.65]","[0.10,0.11,0.11,0.07,-0.05,0.10,0.11,0.11,0.10,0.10]","[-0.06,-0.06,-0.03,0.10,0.15,-0.03,-0.03,-0.02,-0.03,-0.04]",21.53,1173.33,163,170,,,,,,,0.18,-0.33,-0.87,0.62,0.36,0.0,,0.22,0.5,203.39
69935,30.810991287231445,-105.09707641601562,79.69,6.44,0.72,0.09,0.0,0.0,-0.01,0.02,0.0,"[83.23,78.86,80.48,69.34,77.81,74.54,98.02,71.93,73.00,89.67]","[0.10,0.11,0.11,0.07,-0.05,0.10,0.11,0.11,0.10,0.10]","[-0.06,-0.07,-0.03,0.10,0.15,-0.05,-0.03,-0.03,-0.04,-0.04]",21.87,1173.67,163,171,,,,,,,0.18,-0.31,-0.87,0.62,0.38,0.0,,0.17,0.52,245.59
69935,30.810991287231445,-105.09707641601562,79.69,6.44,0.72,0.09,0.0,0.0,-0.01,0.02,0.0,"[83.23,78.86,80.48,69.34,77.81,74.54,98.02,71.93,73.00,89.67]","[0.10,0.11,0.11,0.07,-0.05,0.10,0.11,0.11,0.10,0.10]","[-0.06,-0.07,-0.03,0.10,0.15,-0.05,-0.03,-0.03,-0.04,-0.04]",21.87,1173.67,163,171,,,,,,,0.18,-0.31,-0.87,0.62,0.38,0.0,,0.17,0.52,245.59
69936,30.810991287231445,-105.09705352783203,79.74,6.43,0.71,0.09,0.0,0.0,-0.02,0.02,0.0,"[83.28,78.94,80.50,69.37,77.83,74.60,98.08,72.01,73.06,89.71]","[0.10,0.11,0.11,0.07,-0.05,0.10,0.11,0.11,0.10,0.10]","[-0.07,-0.07,-0.03,0.10,0.14,-0.05,-0.04,-0.04,-0.04,-0.05]",21.8,1173.6,163,172,,,,,,,0.18,-0.32,-0.86,0.61,0.37,0.0,,0.17,0.49,235.25
69936,30.810991287231445,-105.09705352783203,79.74,6.43,0.71,0.09,0.0,0.0,-0.02,0.02,0.0,"[83.28,78.94,80.50,69.37,77.83,74.60,98.08,72.01,73.06,89.71]","[0.10,0.11,0.11,0.07,-0.05,0.10,0.11,0.11,0.10,0.10]","[-0.07,-0.07,-0.03,0.10,0.14,-0.05,-0.04,-0.04,-0.04,-0.05]",21.8,1173.6,163,172,,,,,,,0.18,-0.32,-0.86,0.61,0.37,0.0,,0.17,0.49,235.25
69937,30.810991287231445,-105.09699249267578,79.78,6.43,0.71,0.09,0.0,0.0,-0.02,0.02,0.0,"[83.32,79.01,80.49,69.41,77.85,74.66,98.14,72.10,73.11,89.75]","[0.10,0.11,0.11,0.07,-0.04,0.10,0.11,0.11,0.10,0.10]","[-0.07,-0.07,-0.03,0.10,0.13,-0.06,-0.04,-0.04,-0.05,-0.05]",21.69,1173.49,163,173,,,,,,,0.18,-0.33,-0.84,0.61,0.36,0.0,,0.14,0.51,210.04
69937,30.810991287231445,-105.09699249267578,79.78,6.43,0.71,0.09,0.0,0.0,-0.02,0.02,0.0,"[83.32,79.01,80.49,69.41,77.85,74.66,98.14,72.10,73.11,89.75]","[0.10,0.11,0.11,0.07,-0.04,0.10,0.11,0.11,0.10,0.10]","[-0.07,-0.07,-0.03,0.10,0.13,-0.06,-0.04,-0.04,-0.05,-0.05]",21.69,1173.49,163,173,,,,,,,0.18,-0.33,-0.84,0.61,0.36,0.0,,0.14,0.51,210.04
69938,30.810991287231445,-105.09695434570312,79.83,6.43,0.71,0.09,-0.0,0.0,-0.02,0.02,0.0,"[83.36,79.08,80.49,69.45,77.87,74.72,98.21,72.18,73.16,89.79]","[0.10,0.11,0.11,0.07,-0.04,0.10,0.11,0.11,0.10,0.10]","[-0.07,-0.07,-0.04,0.11,0.12,-0.06,-0.05,-0.05,-0.06,-0.05]",21.43,1173.23,163,174,,,,,,,0.18,-0.34,-0.83,0.61,0.34,0.0,,0.12,0.52,181.27
69938,30.810991287231445,-105.09695434570312,79.83,6.43,0.71,0.09,-0.0,0.0,-0.02,0.02,0.0,"[83.36,79.08,80.49,69.45,77.87,74.72,98.21,72.18,73.16,89.79]","[0.10,0.11,0.11,0.07,-0.04,0.10,0.11,0.11,0.10,0.10]","[-0.07,-0.07,-0.04,0.11,0.12,-0.06,-0.05,-0.05,-0.06,-0.05]",21.43,1173.23,163,174,,,,,,,0.18,-0.34,-0.83,0.61,0.34,0.0,,0.12,0.52,181.27
69939,30.810991287231445,-105.09691619873047,79.88,6.42,0.71,0.09,-0.01,0.0,-0.02,0.02,0.0,"[83.41,79.15,80.49,69.49,77.90,74.78,98.27,72.27,73.22,89.83]","[0.11,0.11,0.11,0.07,-0.04,0.10,0.11,0.12,0.10,0.10]","[-0.07,-0.07,-0.04,0.11,0.11,-0.07,-0.05,-0.05,-0.06,-0.06]",20.98,1172.78,163,175,,,,,,,0.19,-0.34,-0.81,0.61,0.33,0.0,,0.12,0.5,226.47
69939,30.810991287231445,-105.09691619873047,79.88,6.42,0.71,0.09,-0.01,0.0,-0.02,0.02,0.0,"[83.41,79.15,80.49,69.49,77.90,74.78,98.27,72.27,73.22,89.83]","[0.11,0.11,0.11,0.07,-0.04,0.10,0.11,0.12,0.10,0.10]","[-0.07,-0.07,-0.04,0.11,0.11,-0.07,-0.05,-0.05,-0.06,-0.06]",20.98,1172.78,163,175,,,,,,,0.19,-0.34,-0.81,0.61,0.33,0.0,,0.12,0.5,226.47
69940,30.810991287231445,-105.09686279296875,79.93,6.42,0.71,0.09,-0.01,0.0,-0.03,0.01,0.0,"[83.45,79.22,80.48,69.53,77.92,74.84,98.33,72.36,73.27,89.88]","[0.11,0.11,0.11,0.07,-0.04,0.10,0.11,0.12,0.10,0.10]","[-0.08,-0.07,-0.05,0.11,0.10,-0.07,-0.06,-0.06,-0.07,-0.06]",20.38,1172.17,163,176,,,,,,,0.19,-0.35,-0.79,0.61,0.32,0.01,,0.16,0.48,203.58
69940,30.810991287231445,-105.09686279296875,79.93,6.42,0.71,0.09,-0.01,0.0,-0.03,0.01,0.0,"[83.45,79.22,80.48,69.53,77.92,74.84,98.33,72.36,73.27,89.88]","[0.11,0.11,0.11,0.07,-0.04,0.10,0.11,0.12,0.10,0.10]","[-0.08,-0.07,-0.05,0.11,0.10,-0.07,-0.06,-0.06,-0.07,-0.06]",20.38,1172.17,163,176,,,,,,,0.19,-0.35,-0.79,0.61,0.32,0.01,,0.16,0.48,203.58
69941,30.810991287231445,-105.09681701660156,79.98,6.42,0.71,0.09,-0.01,0.0,-0.04,0.01,0.0,"[83.50,79.29,80.48,69.57,77.94,74.89,98.40,72.44,73.33,89.92]","[0.11,0.11,0.11,0.07,-0.04,0.10,0.11,0.12,0.10,0.10]","[-0.08,-0.07,-0.05,0.11,0.09,-0.08,-0.06,-0.07,-0.08,-0.07]",19.69,1171.49,163,177,,,,,,,0.19,-0.36,-0.77,0.6,0.31,0.01,,0.17,0.52,119.39
69941,30.810991287231445,-105.09681701660156,79.98,6.42,0.71,0.09,-0.01,0.0,-0.04,0.01,0.0,"[83.50,79.29,80.48,69.57,77.94,74.89,98.40,72.44,73.33,89.92]","[0.11,0.11,0.11,0.07,-0.04,0.10,0.11,0.12,0.10,0.10]","[-0.08,-0.07,-0.05,0.11,0.09,-0.08,-0.06,-0.07,-0.08,-0.07]",19.69,1171.49,163,177,,,,,,,0.19,-0.36,-0.77,0.6,0.31,0.01,,0.17,0.52,119.39
69942,30.810991287231445,-105.0967788696289,80.02,6.46,0.72,0.09,-0.01,0.0,-0.04,0.01,0.0,"[83.51,79.32,80.47,69.66,77.96,74.93,98.46,72.53,73.36,89.97]","[0.11,0.11,0.11,0.07,-0.04,0.10,0.11,0.12,0.10,0.10]","[-0.08,-0.07,-0.06,0.11,0.09,-0.08,-0.06,-0.07,-0.08,-0.07]",18.9,1170.7,163,178,,,,,,,0.19,-0.36,-0.77,0.61,0.31,0.01,,0.15,0.5,153.0
69942,30.810991287231445,-105.0967788696289,80.02,6.46,0.72,0.09,-0.01,0.0,-0.04,0.01,0.0,"[83.51,79.32,80.47,69.66,77.96,74.93,98.46,72.53,73.36,89.97]","[0.11,0.11,0.11,0.07,-0.04,0.10,0.11,0.12,0.10,0.10]","[-0.08,-0.07,-0.06,0.11,0.09,-0.08,-0.06,-0.07,-0.08,-0.07]",18.9,1170.7,163,178,,,,,,,0.19,-0.36,-0.77,0.61,0.31,0.01,,0.15,0.5,153.0
69943,30.810991287231445,-105.09672546386719,80.06,6.51,0.72,0.09,-0.01,0.0,-0.04,0.01,0.0,"[83.51,79.32,80.46,69.79,77.99,74.95,98.53,72.61,73.38,90.02]","[0.11,0.11,0.11,0.07,-0.04,0.10,0.11,0.12,0.10,0.10]","[-0.08,-0.07,-0.06,0.11,0.09,-0.08,-0.06,-0.07,-0.08,-0.07]",18.07,1169.87,163,179,,,,,,,0.18,-0.36,-0.78,0.61,0.31,0.01,,0.14,0.5,254.61
69943,30.810991287231445,-105.09672546386719,80.06,6.51,0.72,0.09,-0.01,0.0,-0.04,0.01,0.0,"[83.51,79.32,80.46,69.79,77.99,74.95,98.53,72.61,73.38,90.02]","[0.11,0.11,0.11,0.07,-0.04,0.10,0.11,0.12,0.10,0.10]","[-0.08,-0.07,-0.06,0.11,0.09,-0.08,-0.06,-0.07,-0.08,-0.07]",18.07,1169.87,163,179,,,,,,,0.18,-0.36,-0.78,0.61,0.31,0.01,,0.14,0.5,254.61
69944,30.810991287231445,-105.0966796875,80.09,6.57,0.73,0.09,-0.01,0.0,-0.04,0.01,0.0,"[83.51,79.32,80.45,69.92,78.01,74.97,98.59,72.69,73.40,90.08]","[0.11,0.11,0.12,0.07,-0.04,0.10,0.11,0.12,0.11,0.10]","[-0.08,-0.07,-0.06,0.11,0.09,-0.08,-0.06,-0.07,-0.07,-0.07]",17.3,1169.1,163,180,,,,,,,0.18,-0.36,-0.78,0.62,0.31,0.01,,0.15,0.48,211.57
69944,30.810991287231445,-105.0966796875,80.09,6.57,0.73,0.09,-0.01,0.0,-0.04,0.01,0.0,"[83.51,79.32,80.45,69.92,78.01,74.97,98.59,72.69,73.40,90.08]","[0.11,0.11,0.12,0.07,-0.04,0.10,0.11,0.12,0.11,0.10]","[-0.08,-0.07,-0.06,0.11,0.09,-0.08,-0.06,-0.07,-0.07,-0.07]",17.3,1169.1,163,180,,,,,,,0.18,-0.36,-0.78,0.62,0.31,0.01,,0.15,0.48,211.57
69945,30.810991287231445,-105.09663391113281,80.13,6.63,0.74,0.09,-0.01,0.0,-0.04,0.01,0.0,"[83.51,79.32,80.44,70.05,78.03,75.00,98.66,72.77,73.42,90.13]","[0.11,0.11,0.12,0.07,-0.04,0.10,0.11,0.12,0.11,0.10]","[-0.08,-0.07,-0.06,0.11,0.09,-0.07,-0.06,-0.07,-0.07,-0.07]",16.83,1168.63,163,181,,,,,,,0.18,-0.36,-0.78,0.62,0.31,0.01,,0.1,0.52,177.14
69945,30.810991287231445,-105.09663391113281,80.13,6.63,0.74,0.09,-0.01,0.0,-0.04,0.01,0.0,"[83.51,79.32,80.44,70.05,78.03,75.00,98.66,72.77,73.42,90.13]","[0.11,0.11,0.12,0.07,-0.04,0.10,0.11,0.12,0.11,0.10]","[-0.08,-0.07,-0.06,0.11,0.09,-0.07,-0.06,-0.07,-0.07,-0.07]",16.83,1168.63,163,181,,,,,,,0.18,-0.36,-0.78,0.62,0.31,0.01,,0.1,0.52,177.14
