geoid,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,idx_row,idx_col,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,slope,tri,downhill_fraction,dom_angle_deg
326,30.818313598632812,-105.09012603759766,78.05,6.46,0.72,0.08,-0.01,0.0,,,,"[82.50,77.63,82.67,64.79,79.02,73.43,89.83,71.85,69.87,88.96]","[0.10,0.10,0.10,0.05,-0.03,0.09,0.10,0.11,0.10,0.09]",,59.14,1210.94,0,326,,,,,,,0.13,,,0.73,,,,0.02,0.51,152.07
327,30.818313598632812,-105.090087890625,78.09,6.4,0.71,0.08,-0.01,0.0,,,,"[82.56,77.70,82.73,64.82,79.05,73.50,89.88,71.87,69.78,88.96]","[0.10,0.10,0.10,0.05,-0.03,0.09,0.10,0.11,0.10,0.09]",,59.05,1210.85,0,327,,,,,,,0.13,,,0.72,,,,0.04,0.52,119.14
328,30.818313598632812,-105.09002685546875,78.12,6.35,0.71,0.08,-0.01,0.0,,,,"[82.62,77.78,82.80,64.85,79.09,73.56,89.92,71.90,69.69,88.97]","[0.10,0.10,0.10,0.05,-0.03,0.09,0.10,0.11,0.10,0.09]",,58.79,1210.59,0,328,,,,,,,0.13,,,0.72,,,,0.06,0.5,222.64
329,30.818313598632812,-105.0899887084961,78.14,6.31,0.7,0.08,-0.01,0.0,,,,"[82.66,77.83,82.85,64.88,79.11,73.61,89.96,71.92,69.62,88.97]","[0.10,0.10,0.10,0.05,-0.03,0.09,0.10,0.11,0.10,0.09]",,58.53,1210.33,0,329,,,,,,,0.13,,,0.71,,,,0.06,0.5,164.27
330,30.818313598632812,-105.0899429321289,78.16,6.28,0.7,0.08,-0.01,0.0,,,,"[82.70,77.88,82.90,64.91,79.13,73.65,89.99,71.95,69.55,88.98]","[0.10,0.10,0.10,0.05,-0.03,0.09,0.10,0.11,0.10,0.09]",,58.15,1209.94,0,330,,,,,,,0.14,,,0.71,,,,0.09,0.5,117.65
331,30.818313598632812,-105.08990478515625,78.19,6.25,0.7,0.08,-0.01,0.0,,,,"[82.73,77.93,82.94,64.95,79.15,73.69,90.02,71.98,69.48,88.98]","[0.10,0.10,0.10,0.05,-0.03,0.09,0.10,0.11,0.10,0.09]",,57.64,1209.44,0,331,,,,,,,0.14,,,0.71,,,,0.1,0.5,161.63
332,30.818313598632812,-105.08985137939453,78.21,6.22,0.69,0.08,-0.01,0.0,,,,"[82.77,77.98,82.99,64.98,79.17,73.73,90.05,72.00,69.41,88.99]","[0.10,0.10,0.10,0.05,-0.02,0.09,0.10,0.11,0.10,0.09]",,56.97,1208.77,0,332,,,,,,,0.14,,,0.7,,,,0.14,0.5,192.05
333,30.818313598632812,-105.08980560302734,78.23,6.19,0.69,0.08,-0.01,0.0,,,,"[82.81,78.02,83.04,65.02,79.19,73.77,90.07,72.03,69.33,88.99]","[0.10,0.10,0.10,0.05,-0.02,0.09,0.10,0.11,0.10,0.09]",,56.15,1207.95,0,333,,,,,,,0.14,,,0.7,,,,0.18,0.5,201.2
334,30.818313598632812,-105.08976745605469,78.25,6.16,0.68,0.08,-0.01,0.0,,,,"[82.84,78.07,83.08,65.05,79.21,73.81,90.10,72.06,69.26,89.00]","[0.10,0.10,0.10,0.05,-0.02,0.09,0.10,0.11,0.10,0.09]",,55.41,1207.21,0,334,,,,,,,0.14,,,0.69,,,,0.14,0.5,167.8
335,30.818313598632812,-105.08972930908203,78.28,6.13,0.68,0.08,-0.01,0.0,,,,"[82.88,78.12,83.14,65.11,79.24,73.85,90.14,72.09,69.17,89.01]","[0.10,0.10,0.10,0.05,-0.02,0.09,0.10,0.11,0.10,0.09]",,54.73,1206.53,0,335,,,,,,,0.14,,,0.7,,,,0.16,0.51,151.79
336,30.818313598632812,-105.08966827392578,78.3,6.11,0.68,0.08,-0.01,0.0,,,,"[82.92,78.17,83.20,65.17,79.27,73.89,90.18,72.14,69.08,89.03]","[0.10,0.10,0.10,0.05,-0.02,0.09,0.10,0.11,0.10,0.09]",,54.04,1205.83,0,336,,,,,,,0.13,,,0.72,,,,0.13,0.44,164.72
337,30.818313598632812,-105.08963775634766,78.33,6.09,0.68,0.08,-0.01,0.0,,,,"[82.95,78.22,83.25,65.23,79.31,73.92,90.22,72.18,68.99,89.04]","[0.10,0.10,0.10,0.05,-0.02,0.09,0.10,0.11,0.10,0.09]",,54.7,1206.49,0,337,,,,,,,0.13,,,0.73,,,,0.23,0.49,147.69
338,30.818313598632812,-105.08959197998047,78.36,6.07,0.67,0.09,-0.02,0.0,,,,"[82.99,78.26,83.31,65.29,79.34,73.96,90.26,72.22,68.90,89.06]","[0.11,0.11,0.11,0.06,-0.02,0.09,0.11,0.12,0.11,0.09]",,55.81,1207.61,0,338,,,,,,,0.12,,,0.74,,,,0.16,0.5,200.55
339,30.818313598632812,-105.08953857421875,78.39,6.05,0.67,0.09,-0.02,0.0,,,,"[83.03,78.31,83.37,65.35,79.38,74.00,90.30,72.26,68.80,89.07]","[0.11,0.11,0.11,0.06,-0.02,0.09,0.11,0.12,0.11,0.09]",,56.67,1208.47,0,339,,,,,,,0.11,,,0.76,,,,0.17,0.5,186.7
340,30.818313598632812,-105.08949279785156,78.41,6.02,0.67,0.09,-0.02,0.0,,,,"[83.06,78.36,83.43,65.41,79.41,74.03,90.34,72.30,68.71,89.09]","[0.11,0.11,0.11,0.06,-0.02,0.09,0.11,0.12,0.11,0.09]",,57.45,1209.25,0,340,,,,,,,0.11,,,0.77,,,,0.14,0.5,174.6
341,30.818313598632812,-105.0894546508789,78.46,6.01,0.67,0.09,-0.02,0.0,,,,"[83.11,78.42,83.50,65.48,79.47,74.07,90.40,72.36,68.64,89.12]","[0.11,0.11,0.11,0.06,-0.02,0.09,0.11,0.12,0.11,0.09]",,58.09,1209.89,0,341,,,,,,,0.11,,,0.77,,,,0.1,0.5,174.27
342,30.818313598632812,-105.08940124511719,78.5,5.99,0.67,0.09,-0.02,0.0,,,,"[83.16,78.49,83.58,65.56,79.52,74.11,90.46,72.41,68.57,89.15]","[0.11,0.11,0.11,0.06,-0.02,0.09,0.11,0.12,0.11,0.09]",,58.56,1210.36,0,342,,,,,,,0.11,,,0.76,,,,0.08,0.5,209.13
343,30.818313598632812,-105.08935546875,78.55,5.97,0.66,0.09,-0.02,0.0,,,,"[83.21,78.55,83.66,65.64,79.58,74.15,90.52,72.47,68.50,89.18]","[0.11,0.11,0.11,0.06,-0.02,0.09,0.11,0.12,0.11,0.09]",,58.97,1210.77,0,343,,,,,,,0.11,,,0.76,,,,0.08,0.5,206.14
344,30.818313598632812,-105.08930969238281,78.59,5.96,0.66,0.09,-0.01,0.0,,,,"[83.26,78.62,83.74,65.72,79.64,74.19,90.58,72.53,68.43,89.22]","[0.11,0.11,0.11,0.06,-0.02,0.10,0.11,0.12,0.11,0.10]",,59.26,1211.06,0,344,,,,,,,0.11,,,0.75,,,,0.05,0.53,171.85
345,30.818313598632812,-105.08926391601562,78.64,5.94,0.66,0.09,-0.01,0.0,,,,"[83.31,78.69,83.82,65.79,79.70,74.23,90.64,72.59,68.36,89.25]","[0.11,0.11,0.11,0.06,-0.02,0.10,0.11,0.12,0.11,0.10]",,59.41,1211.21,0,345,,,,,,,0.12,,,0.75,,,,0.04,0.51,182.74
346,30.818313598632812,-105.08924102783203,78.68,5.92,0.66,0.09,-0.01,0.0,,,,"[83.36,78.75,83.90,65.87,79.75,74.27,90.70,72.64,68.29,89.28]","[0.11,0.11,0.11,0.06,-0.02,0.10,0.11,0.12,0.11,0.10]",,59.46,1211.26,0,346,,,,,,,0.12,,,0.75,,,,0.04,0.53,166.33
347,30.818313598632812,-105.08917236328125,78.71,5.92,0.66,0.09,-0.01,0.0,,,,"[83.38,78.79,83.94,65.91,79.79,74.27,90.74,72.68,68.29,89.30]","[0.11,0.11,0.11,0.06,-0.02,0.10,0.11,0.12,0.11,0.10]",,59.41,1211.21,0,347,,,,,,,0.12,,,0.74,,,,0.05,0.5,145.61
348,30.818313598632812,-105.08914184570312,78.73,5.92,0.66,0.09,-0.01,0.0,,,,"[83.40,78.81,83.98,65.95,79.80,74.27,90.77,72.70,68.33,89.32]","[0.11,0.11,0.11,0.06,-0.02,0.10,0.11,0.12,0.11,0.10]",,59.26,1211.06,0,348,,,,,,,0.12,,,0.74,,,,0.06,0.52,165.97
349,30.818313598632812,-105.08908081054688,78.75,5.92,0.66,0.09,-0.01,0.0,,,,"[83.42,78.83,84.01,65.98,79.82,74.26,90.80,72.72,68.36,89.33]","[0.11,0.11,0.11,0.06,-0.02,0.10,0.11,0.12,0.11,0.10]",,59.0,1210.8,0,349,,,,,,,0.12,,,0.74,,,,0.07,0.49,218.7
350,30.818313598632812,-105.08905029296875,78.78,5.91,0.66,0.09,-0.02,0.0,,,,"[83.43,78.85,84.04,66.01,79.84,74.26,90.83,72.75,68.39,89.35]","[0.11,0.10,0.11,0.06,-0.02,0.10,0.11,0.12,0.10,0.09]",,58.68,1210.48,0,350,,,,,,,0.12,,,0.74,,,,0.09,0.52,155.96
351,30.818313598632812,-105.08900451660156,78.79,5.91,0.66,0.09,-0.02,0.0,,,,"[83.45,78.87,84.07,66.04,79.86,74.25,90.85,72.77,68.42,89.36]","[0.11,0.10,0.11,0.06,-0.02,0.10,0.11,0.12,0.10,0.09]",,58.27,1210.07,0,351,,,,,,,0.12,,,0.74,,,,0.1,0.51,149.66
352,30.818313598632812,-105.08895874023438,78.82,5.91,0.66,0.09,-0.02,0.0,,,,"[83.47,78.89,84.10,66.07,79.88,74.24,90.88,72.79,68.45,89.38]","[0.11,0.10,0.11,0.06,-0.02,0.10,0.11,0.12,0.10,0.09]",,57.73,1209.53,0,352,,,,,,,0.12,,,0.74,,,,0.11,0.51,190.39
353,30.818313598632812,-105.08891296386719,78.82,5.92,0.66,0.09,-0.02,0.0,,,,"[83.46,78.87,84.09,66.07,79.87,74.21,90.88,72.80,68.55,89.38]","[0.11,0.10,0.11,0.06,-0.02,0.10,0.11,0.12,0.10,0.09]",,57.21,1209.01,0,353,,,,,,,0.12,,,0.74,,,,0.11,0.5,160.41
354,30.818313598632812,-105.0888671875,78.82,5.93,0.66,0.09,-0.02,0.0,,,,"[83.45,78.84,84.07,66.06,79.85,74.17,90.86,72.79,68.68,89.38]","[0.11,0.10,0.11,0.06,-0.02,0.10,0.11,0.12,0.10,0.09]",,56.7,1208.5,0,354,,,,,,,0.12,,,0.74,,,,0.12,0.5,169.85
355,30.818313598632812,-105.08882141113281,78.81,5.95,0.66,0.09,-0.02,0.0,,,,"[83.44,78.81,84.05,66.04,79.83,74.14,90.84,72.78,68.80,89.38]","[0.11,0.10,0.11,0.06,-0.02,0.10,0.11,0.12,0.10,0.09]",,56.11,1207.9,0,355,,,,,,,0.12,,,0.74,,,,0.14,0.47,216.83
356,30.818313598632812,-105.08877563476562,78.81,5.96,0.66,0.09,-0.01,0.0,,,,"[83.43,78.77,84.03,66.03,79.80,74.10,90.82,72.78,68.93,89.39]","[0.10,0.10,0.11,0.06,-0.01,0.10,0.11,0.12,0.10,0.09]",,55.7,1207.5,0,356,,,,,,,0.12,,,0.74,,,,0.13,0.49,233.94
