geoid,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,idx_row,idx_col,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,slope,tri,downhill_fraction,dom_angle_deg,lstf_2016,lstf_2017,lstf_2018,lstf_2019,lstf_2020,lstf_2021,lstf_2022,lstf_2023,lstf_2024,lstf_2025,ndvi_2016,ndvi_2017,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_2024,ndvi_2025,ndmi_2016,ndmi_2017,ndmi_2018,ndmi_2019,ndmi_2020,ndmi_2021,ndmi_2022,ndmi_2023,ndmi_2024,ndmi_2025
9877,30.817279815673828,-105.10327911376953,80.69,7.53,0.84,0.09,-0.01,0.0,0.02,0.01,0.0,"[83.51,79.46,83.80,73.70,80.15,75.86,90.84,73.57,74.99,91.03]","[0.10,0.10,0.11,0.09,-0.03,0.09,0.11,0.11,0.10,0.09]","[-0.02,-0.02,-0.01,0.09,0.18,-0.02,-0.01,-0.00,-0.01,-0.01]",20.18,1171.97,23,33,,,,,,,0.05,-0.21,-0.89,0.89,0.56,0.0,,0.06,0.6,214.11,83.51,79.46,83.8,73.7,80.15,75.86,90.84,73.57,74.99,91.03,0.1,0.1,0.11,0.09,-0.03,0.09,0.11,0.11,0.1,0.09,-0.02,-0.02,-0.01,0.09,0.18,-0.02,-0.01,-0.0,-0.01,-0.01
9877,30.817279815673828,-105.10327911376953,80.69,7.53,0.84,0.09,-0.01,0.0,0.02,0.01,0.0,"[83.51,79.46,83.80,73.70,80.15,75.86,90.84,73.57,74.99,91.03]","[0.10,0.10,0.11,0.09,-0.03,0.09,0.11,0.11,0.10,0.09]","[-0.02,-0.02,-0.01,0.09,0.18,-0.02,-0.01,-0.00,-0.01,-0.01]",20.18,1171.97,23,33,,,,,,,0.05,-0.21,-0.89,0.89,0.56,0.0,,0.06,0.6,214.11,83.51,79.46,83.8,73.7,80.15,75.86,90.84,73.57,74.99,91.03,0.1,0.1,0.11,0.09,-0.03,0.09,0.11,0.11,0.1,0.09,-0.02,-0.02,-0.01,0.09,0.18,-0.02,-0.01,-0.0,-0.01,-0.01
9878,30.817279815673828,-105.10324096679688,80.64,7.6,0.84,0.09,-0.01,0.0,0.01,0.01,0.0,"[83.43,79.36,83.72,73.67,80.11,75.79,90.83,73.55,74.95,91.03]","[0.10,0.10,0.11,0.09,-0.03,0.09,0.11,0.11,0.10,0.09]","[-0.03,-0.03,-0.01,0.09,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",20.14,1171.94,23,34,,,,,,,0.05,-0.21,-0.89,0.88,0.56,0.0,,0.05,0.45,154.71,83.43,79.36,83.72,73.67,80.11,75.79,90.83,73.55,74.95,91.03,0.1,0.1,0.11,0.09,-0.03,0.09,0.11,0.11,0.1,0.09,-0.03,-0.03,-0.01,0.09,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9878,30.817279815673828,-105.10324096679688,80.64,7.6,0.84,0.09,-0.01,0.0,0.01,0.01,0.0,"[83.43,79.36,83.72,73.67,80.11,75.79,90.83,73.55,74.95,91.03]","[0.10,0.10,0.11,0.09,-0.03,0.09,0.11,0.11,0.10,0.09]","[-0.03,-0.03,-0.01,0.09,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",20.14,1171.94,23,34,,,,,,,0.05,-0.21,-0.89,0.88,0.56,0.0,,0.05,0.45,154.71,83.43,79.36,83.72,73.67,80.11,75.79,90.83,73.55,74.95,91.03,0.1,0.1,0.11,0.09,-0.03,0.09,0.11,0.11,0.1,0.09,-0.03,-0.03,-0.01,0.09,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9879,30.817279815673828,-105.10320281982422,80.59,7.67,0.85,0.09,-0.01,0.0,0.01,0.01,0.0,"[83.36,79.25,83.64,73.64,80.06,75.72,90.81,73.53,74.91,91.03]","[0.10,0.10,0.11,0.09,-0.03,0.09,0.11,0.11,0.10,0.09]","[-0.03,-0.03,-0.01,0.09,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",20.11,1171.91,23,35,,,,,,,0.05,-0.21,-0.88,0.88,0.56,0.0,,0.13,0.56,135.96,83.36,79.25,83.64,73.64,80.06,75.72,90.81,73.53,74.91,91.03,0.1,0.1,0.11,0.09,-0.03,0.09,0.11,0.11,0.1,0.09,-0.03,-0.03,-0.01,0.09,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9879,30.817279815673828,-105.10320281982422,80.59,7.67,0.85,0.09,-0.01,0.0,0.01,0.01,0.0,"[83.36,79.25,83.64,73.64,80.06,75.72,90.81,73.53,74.91,91.03]","[0.10,0.10,0.11,0.09,-0.03,0.09,0.11,0.11,0.10,0.09]","[-0.03,-0.03,-0.01,0.09,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",20.11,1171.91,23,35,,,,,,,0.05,-0.21,-0.88,0.88,0.56,0.0,,0.13,0.56,135.96,83.36,79.25,83.64,73.64,80.06,75.72,90.81,73.53,74.91,91.03,0.1,0.1,0.11,0.09,-0.03,0.09,0.11,0.11,0.1,0.09,-0.03,-0.03,-0.01,0.09,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9880,30.817279815673828,-105.10314178466797,80.54,7.74,0.86,0.09,-0.01,0.0,0.01,0.01,0.0,"[83.28,79.14,83.56,73.61,80.01,75.65,90.79,73.50,74.86,91.02]","[0.10,0.10,0.11,0.09,-0.03,0.09,0.11,0.11,0.10,0.09]","[-0.03,-0.03,-0.02,0.08,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",19.49,1171.29,23,36,,,,,,,0.06,-0.21,-0.88,0.88,0.56,0.0,,0.15,0.43,236.97,83.28,79.14,83.56,73.61,80.01,75.65,90.79,73.5,74.86,91.02,0.1,0.1,0.11,0.09,-0.03,0.09,0.11,0.11,0.1,0.09,-0.03,-0.03,-0.02,0.08,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9880,30.817279815673828,-105.10314178466797,80.54,7.74,0.86,0.09,-0.01,0.0,0.01,0.01,0.0,"[83.28,79.14,83.56,73.61,80.01,75.65,90.79,73.50,74.86,91.02]","[0.10,0.10,0.11,0.09,-0.03,0.09,0.11,0.11,0.10,0.09]","[-0.03,-0.03,-0.02,0.08,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",19.49,1171.29,23,36,,,,,,,0.06,-0.21,-0.88,0.88,0.56,0.0,,0.15,0.43,236.97,83.28,79.14,83.56,73.61,80.01,75.65,90.79,73.5,74.86,91.02,0.1,0.1,0.11,0.09,-0.03,0.09,0.11,0.11,0.1,0.09,-0.03,-0.03,-0.02,0.08,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9881,30.817279815673828,-105.10310363769531,80.49,7.81,0.87,0.09,-0.01,0.0,0.01,0.01,0.0,"[83.21,79.03,83.48,73.58,79.97,75.58,90.78,73.48,74.82,91.02]","[0.10,0.10,0.11,0.09,-0.03,0.09,0.11,0.11,0.10,0.09]","[-0.03,-0.03,-0.02,0.08,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",19.59,1171.39,23,37,,,,,,,0.06,-0.21,-0.88,0.88,0.56,0.0,,0.08,0.5,219.35,83.21,79.03,83.48,73.58,79.97,75.58,90.78,73.48,74.82,91.02,0.1,0.1,0.11,0.09,-0.03,0.09,0.11,0.11,0.1,0.09,-0.03,-0.03,-0.02,0.08,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9881,30.817279815673828,-105.10310363769531,80.49,7.81,0.87,0.09,-0.01,0.0,0.01,0.01,0.0,"[83.21,79.03,83.48,73.58,79.97,75.58,90.78,73.48,74.82,91.02]","[0.10,0.10,0.11,0.09,-0.03,0.09,0.11,0.11,0.10,0.09]","[-0.03,-0.03,-0.02,0.08,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",19.59,1171.39,23,37,,,,,,,0.06,-0.21,-0.88,0.88,0.56,0.0,,0.08,0.5,219.35,83.21,79.03,83.48,73.58,79.97,75.58,90.78,73.48,74.82,91.02,0.1,0.1,0.11,0.09,-0.03,0.09,0.11,0.11,0.1,0.09,-0.03,-0.03,-0.02,0.08,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9882,30.817279815673828,-105.10306549072266,80.44,7.88,0.88,0.09,-0.01,0.0,0.01,0.01,0.0,"[83.13,78.92,83.41,73.55,79.92,75.51,90.76,73.46,74.78,91.01]","[0.10,0.10,0.11,0.09,-0.03,0.09,0.11,0.11,0.10,0.09]","[-0.03,-0.03,-0.02,0.08,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",19.9,1171.7,23,38,,,,,,,0.06,-0.21,-0.88,0.87,0.56,0.0,,0.06,0.48,193.58,83.13,78.92,83.41,73.55,79.92,75.51,90.76,73.46,74.78,91.01,0.1,0.1,0.11,0.09,-0.03,0.09,0.11,0.11,0.1,0.09,-0.03,-0.03,-0.02,0.08,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9882,30.817279815673828,-105.10306549072266,80.44,7.88,0.88,0.09,-0.01,0.0,0.01,0.01,0.0,"[83.13,78.92,83.41,73.55,79.92,75.51,90.76,73.46,74.78,91.01]","[0.10,0.10,0.11,0.09,-0.03,0.09,0.11,0.11,0.10,0.09]","[-0.03,-0.03,-0.02,0.08,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",19.9,1171.7,23,38,,,,,,,0.06,-0.21,-0.88,0.87,0.56,0.0,,0.06,0.48,193.58,83.13,78.92,83.41,73.55,79.92,75.51,90.76,73.46,74.78,91.01,0.1,0.1,0.11,0.09,-0.03,0.09,0.11,0.11,0.1,0.09,-0.03,-0.03,-0.02,0.08,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9883,30.817279815673828,-105.10301971435547,80.38,7.92,0.88,0.09,-0.01,0.0,0.01,0.01,0.0,"[83.06,78.81,83.32,73.49,79.86,75.43,90.74,73.40,74.73,90.98]","[0.10,0.10,0.11,0.09,-0.03,0.09,0.11,0.11,0.10,0.09]","[-0.03,-0.03,-0.02,0.09,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",20.32,1172.12,23,39,,,,,,,0.06,-0.21,-0.87,0.87,0.56,0.0,,0.11,0.5,219.99,83.06,78.81,83.32,73.49,79.86,75.43,90.74,73.4,74.73,90.98,0.1,0.1,0.11,0.09,-0.03,0.09,0.11,0.11,0.1,0.09,-0.03,-0.03,-0.02,0.09,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9883,30.817279815673828,-105.10301971435547,80.38,7.92,0.88,0.09,-0.01,0.0,0.01,0.01,0.0,"[83.06,78.81,83.32,73.49,79.86,75.43,90.74,73.40,74.73,90.98]","[0.10,0.10,0.11,0.09,-0.03,0.09,0.11,0.11,0.10,0.09]","[-0.03,-0.03,-0.02,0.09,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",20.32,1172.12,23,39,,,,,,,0.06,-0.21,-0.87,0.87,0.56,0.0,,0.11,0.5,219.99,83.06,78.81,83.32,73.49,79.86,75.43,90.74,73.4,74.73,90.98,0.1,0.1,0.11,0.09,-0.03,0.09,0.11,0.11,0.1,0.09,-0.03,-0.03,-0.02,0.09,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9884,30.817279815673828,-105.10296630859375,80.31,7.94,0.88,0.09,-0.01,0.0,0.01,0.01,0.0,"[82.99,78.71,83.23,73.42,79.77,75.35,90.71,73.30,74.67,90.93]","[0.10,0.10,0.11,0.09,-0.03,0.10,0.11,0.12,0.10,0.10]","[-0.03,-0.03,-0.02,0.09,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",20.79,1172.59,23,40,,,,,,,0.06,-0.21,-0.86,0.88,0.55,0.0,,0.07,0.5,264.58,82.99,78.71,83.23,73.42,79.77,75.35,90.71,73.3,74.67,90.93,0.1,0.1,0.11,0.09,-0.03,0.1,0.11,0.12,0.1,0.1,-0.03,-0.03,-0.02,0.09,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9884,30.817279815673828,-105.10296630859375,80.31,7.94,0.88,0.09,-0.01,0.0,0.01,0.01,0.0,"[82.99,78.71,83.23,73.42,79.77,75.35,90.71,73.30,74.67,90.93]","[0.10,0.10,0.11,0.09,-0.03,0.10,0.11,0.12,0.10,0.10]","[-0.03,-0.03,-0.02,0.09,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",20.79,1172.59,23,40,,,,,,,0.06,-0.21,-0.86,0.88,0.55,0.0,,0.07,0.5,264.58,82.99,78.71,83.23,73.42,79.77,75.35,90.71,73.3,74.67,90.93,0.1,0.1,0.11,0.09,-0.03,0.1,0.11,0.12,0.1,0.1,-0.03,-0.03,-0.02,0.09,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9885,30.817279815673828,-105.10292053222656,80.23,7.95,0.88,0.09,-0.01,0.0,0.01,0.01,0.0,"[82.92,78.61,83.14,73.34,79.69,75.27,90.68,73.21,74.61,90.87]","[0.10,0.10,0.11,0.09,-0.03,0.10,0.11,0.12,0.10,0.10]","[-0.03,-0.03,-0.01,0.10,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",21.06,1172.85,23,41,,,,,,,0.06,-0.22,-0.85,0.88,0.55,0.0,,0.04,0.48,153.3,82.92,78.61,83.14,73.34,79.69,75.27,90.68,73.21,74.61,90.87,0.1,0.1,0.11,0.09,-0.03,0.1,0.11,0.12,0.1,0.1,-0.03,-0.03,-0.01,0.1,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9885,30.817279815673828,-105.10292053222656,80.23,7.95,0.88,0.09,-0.01,0.0,0.01,0.01,0.0,"[82.92,78.61,83.14,73.34,79.69,75.27,90.68,73.21,74.61,90.87]","[0.10,0.10,0.11,0.09,-0.03,0.10,0.11,0.12,0.10,0.10]","[-0.03,-0.03,-0.01,0.10,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",21.06,1172.85,23,41,,,,,,,0.06,-0.22,-0.85,0.88,0.55,0.0,,0.04,0.48,153.3,82.92,78.61,83.14,73.34,79.69,75.27,90.68,73.21,74.61,90.87,0.1,0.1,0.11,0.09,-0.03,0.1,0.11,0.12,0.1,0.1,-0.03,-0.03,-0.01,0.1,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9886,30.817279815673828,-105.1028823852539,80.16,7.96,0.88,0.09,-0.01,0.0,0.01,0.02,0.0,"[82.85,78.50,83.05,73.27,79.61,75.19,90.65,73.12,74.56,90.82]","[0.10,0.10,0.11,0.09,-0.03,0.10,0.11,0.12,0.10,0.10]","[-0.03,-0.03,-0.01,0.11,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",21.35,1173.15,23,42,,,,,,,0.05,-0.22,-0.83,0.88,0.54,0.0,,0.06,0.5,171.64,82.85,78.5,83.05,73.27,79.61,75.19,90.65,73.12,74.56,90.82,0.1,0.1,0.11,0.09,-0.03,0.1,0.11,0.12,0.1,0.1,-0.03,-0.03,-0.01,0.11,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9886,30.817279815673828,-105.1028823852539,80.16,7.96,0.88,0.09,-0.01,0.0,0.01,0.02,0.0,"[82.85,78.50,83.05,73.27,79.61,75.19,90.65,73.12,74.56,90.82]","[0.10,0.10,0.11,0.09,-0.03,0.10,0.11,0.12,0.10,0.10]","[-0.03,-0.03,-0.01,0.11,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",21.35,1173.15,23,42,,,,,,,0.05,-0.22,-0.83,0.88,0.54,0.0,,0.06,0.5,171.64,82.85,78.5,83.05,73.27,79.61,75.19,90.65,73.12,74.56,90.82,0.1,0.1,0.11,0.09,-0.03,0.1,0.11,0.12,0.1,0.1,-0.03,-0.03,-0.01,0.11,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9887,30.817279815673828,-105.10282897949219,80.09,7.98,0.89,0.09,-0.01,0.0,0.01,0.02,0.0,"[82.78,78.40,82.96,73.19,79.52,75.11,90.62,73.02,74.50,90.76]","[0.10,0.10,0.11,0.09,-0.03,0.10,0.11,0.12,0.10,0.10]","[-0.03,-0.03,-0.01,0.11,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",21.95,1173.75,23,43,,,,,,,0.05,-0.22,-0.82,0.89,0.54,0.0,,0.2,0.5,111.17,82.78,78.4,82.96,73.19,79.52,75.11,90.62,73.02,74.5,90.76,0.1,0.1,0.11,0.09,-0.03,0.1,0.11,0.12,0.1,0.1,-0.03,-0.03,-0.01,0.11,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9887,30.817279815673828,-105.10282897949219,80.09,7.98,0.89,0.09,-0.01,0.0,0.01,0.02,0.0,"[82.78,78.40,82.96,73.19,79.52,75.11,90.62,73.02,74.50,90.76]","[0.10,0.10,0.11,0.09,-0.03,0.10,0.11,0.12,0.10,0.10]","[-0.03,-0.03,-0.01,0.11,0.17,-0.02,-0.01,-0.01,-0.02,-0.02]",21.95,1173.75,23,43,,,,,,,0.05,-0.22,-0.82,0.89,0.54,0.0,,0.2,0.5,111.17,82.78,78.4,82.96,73.19,79.52,75.11,90.62,73.02,74.5,90.76,0.1,0.1,0.11,0.09,-0.03,0.1,0.11,0.12,0.1,0.1,-0.03,-0.03,-0.01,0.11,0.17,-0.02,-0.01,-0.01,-0.02,-0.02
9888,30.817279815673828,-105.102783203125,80.01,7.99,0.89,0.09,-0.0,0.0,0.02,0.02,0.0,"[82.71,78.30,82.87,73.12,79.44,75.03,90.59,72.93,74.44,90.71]","[0.10,0.10,0.11,0.09,-0.03,0.10,0.11,0.12,0.10,0.10]","[-0.03,-0.03,-0.01,0.12,0.17,-0.02,-0.01,-0.01,-0.02,-0.01]",23.3,1175.1,23,44,,,,,,,0.05,-0.22,-0.81,0.89,0.54,0.0,,0.31,0.53,165.31,82.71,78.3,82.87,73.12,79.44,75.03,90.59,72.93,74.44,90.71,0.1,0.1,0.11,0.09,-0.03,0.1,0.11,0.12,0.1,0.1,-0.03,-0.03,-0.01,0.12,0.17,-0.02,-0.01,-0.01,-0.02,-0.01
9888,30.817279815673828,-105.102783203125,80.01,7.99,0.89,0.09,-0.0,0.0,0.02,0.02,0.0,"[82.71,78.30,82.87,73.12,79.44,75.03,90.59,72.93,74.44,90.71]","[0.10,0.10,0.11,0.09,-0.03,0.10,0.11,0.12,0.10,0.10]","[-0.03,-0.03,-0.01,0.12,0.17,-0.02,-0.01,-0.01,-0.02,-0.01]",23.3,1175.1,23,44,,,,,,,0.05,-0.22,-0.81,0.89,0.54,0.0,,0.31,0.53,165.31,82.71,78.3,82.87,73.12,79.44,75.03,90.59,72.93,74.44,90.71,0.1,0.1,0.11,0.09,-0.03,0.1,0.11,0.12,0.1,0.1,-0.03,-0.03,-0.01,0.12,0.17,-0.02,-0.01,-0.01,-0.02,-0.01
9889,30.817279815673828,-105.10274505615234,79.94,7.96,0.88,0.09,-0.0,0.0,0.01,0.02,0.0,"[82.67,78.23,82.80,73.03,79.35,74.97,90.54,72.82,74.39,90.62]","[0.10,0.10,0.11,0.09,-0.03,0.10,0.11,0.12,0.10,0.10]","[-0.04,-0.04,-0.01,0.12,0.17,-0.02,-0.01,-0.01,-0.02,-0.01]",24.62,1176.42,23,45,,,,,,,0.05,-0.22,-0.82,0.89,0.54,0.0,,0.57,0.53,144.28,82.67,78.23,82.8,73.03,79.35,74.97,90.54,72.82,74.39,90.62,0.1,0.1,0.11,0.09,-0.03,0.1,0.11,0.12,0.1,0.1,-0.04,-0.04,-0.01,0.12,0.17,-0.02,-0.01,-0.01,-0.02,-0.01
9889,30.817279815673828,-105.10274505615234,79.94,7.96,0.88,0.09,-0.0,0.0,0.01,0.02,0.0,"[82.67,78.23,82.80,73.03,79.35,74.97,90.54,72.82,74.39,90.62]","[0.10,0.10,0.11,0.09,-0.03,0.10,0.11,0.12,0.10,0.10]","[-0.04,-0.04,-0.01,0.12,0.17,-0.02,-0.01,-0.01,-0.02,-0.01]",24.62,1176.42,23,45,,,,,,,0.05,-0.22,-0.82,0.89,0.54,0.0,,0.57,0.53,144.28,82.67,78.23,82.8,73.03,79.35,74.97,90.54,72.82,74.39,90.62,0.1,0.1,0.11,0.09,-0.03,0.1,0.11,0.12,0.1,0.1,-0.04,-0.04,-0.01,0.12,0.17,-0.02,-0.01,-0.01,-0.02,-0.01
9890,30.817279815673828,-105.10269165039062,79.88,7.86,0.87,0.09,-0.01,0.0,0.01,0.02,0.0,"[82.65,78.21,82.75,72.93,79.25,74.94,90.48,72.69,74.36,90.51]","[0.11,0.11,0.11,0.09,-0.03,0.10,0.11,0.12,0.11,0.10]","[-0.04,-0.04,-0.01,0.10,0.17,-0.03,-0.01,-0.01,-0.02,-0.02]",26.03,1177.83,23,46,,,,,,,0.05,-0.21,-0.85,0.88,0.57,0.0,,0.66,0.53,264.14,82.65,78.21,82.75,72.93,79.25,74.94,90.48,72.69,74.36,90.51,0.11,0.11,0.11,0.09,-0.03,0.1,0.11,0.12,0.11,0.1,-0.04,-0.04,-0.01,0.1,0.17,-0.03,-0.01,-0.01,-0.02,-0.02
9890,30.817279815673828,-105.10269165039062,79.88,7.86,0.87,0.09,-0.01,0.0,0.01,0.02,0.0,"[82.65,78.21,82.75,72.93,79.25,74.94,90.48,72.69,74.36,90.51]","[0.11,0.11,0.11,0.09,-0.03,0.10,0.11,0.12,0.11,0.10]","[-0.04,-0.04,-0.01,0.10,0.17,-0.03,-0.01,-0.01,-0.02,-0.02]",26.03,1177.83,23,46,,,,,,,0.05,-0.21,-0.85,0.88,0.57,0.0,,0.66,0.53,264.14,82.65,78.21,82.75,72.93,79.25,74.94,90.48,72.69,74.36,90.51,0.11,0.11,0.11,0.09,-0.03,0.1,0.11,0.12,0.11,0.1,-0.04,-0.04,-0.01,0.1,0.17,-0.03,-0.01,-0.01,-0.02,-0.02
9891,30.817279815673828,-105.10265350341797,79.81,7.76,0.86,0.09,-0.01,0.0,0.01,0.02,0.0,"[82.63,78.19,82.71,72.82,79.15,74.91,90.42,72.56,74.32,90.39]","[0.11,0.11,0.11,0.09,-0.03,0.10,0.11,0.12,0.11,0.10]","[-0.04,-0.04,-0.02,0.08,0.17,-0.03,-0.01,-0.01,-0.02,-0.02]",26.86,1178.66,23,47,,,,,,,0.05,-0.19,-0.89,0.88,0.6,0.0,,0.49,0.53,228.86,82.63,78.19,82.71,72.82,79.15,74.91,90.42,72.56,74.32,90.39,0.11,0.11,0.11,0.09,-0.03,0.1,0.11,0.12,0.11,0.1,-0.04,-0.04,-0.02,0.08,0.17,-0.03,-0.01,-0.01,-0.02,-0.02
9891,30.817279815673828,-105.10265350341797,79.81,7.76,0.86,0.09,-0.01,0.0,0.01,0.02,0.0,"[82.63,78.19,82.71,72.82,79.15,74.91,90.42,72.56,74.32,90.39]","[0.11,0.11,0.11,0.09,-0.03,0.10,0.11,0.12,0.11,0.10]","[-0.04,-0.04,-0.02,0.08,0.17,-0.03,-0.01,-0.01,-0.02,-0.02]",26.86,1178.66,23,47,,,,,,,0.05,-0.19,-0.89,0.88,0.6,0.0,,0.49,0.53,228.86,82.63,78.19,82.71,72.82,79.15,74.91,90.42,72.56,74.32,90.39,0.11,0.11,0.11,0.09,-0.03,0.1,0.11,0.12,0.11,0.1,-0.04,-0.04,-0.02,0.08,0.17,-0.03,-0.01,-0.01,-0.02,-0.02
9892,30.817279815673828,-105.10261535644531,79.74,7.67,0.85,0.09,-0.01,0.0,0.0,0.02,0.0,"[82.61,78.17,82.66,72.72,79.05,74.88,90.36,72.43,74.28,90.27]","[0.11,0.11,0.11,0.09,-0.03,0.10,0.12,0.12,0.11,0.10]","[-0.04,-0.04,-0.02,0.06,0.17,-0.03,-0.02,-0.01,-0.02,-0.02]",27.57,1179.37,23,48,,,,,,,0.06,-0.18,-0.92,0.88,0.63,0.0,,0.35,0.54,309.35,82.61,78.17,82.66,72.72,79.05,74.88,90.36,72.43,74.28,90.27,0.11,0.11,0.11,0.09,-0.03,0.1,0.12,0.12,0.11,0.1,-0.04,-0.04,-0.02,0.06,0.17,-0.03,-0.02,-0.01,-0.02,-0.02
9892,30.817279815673828,-105.10261535644531,79.74,7.67,0.85,0.09,-0.01,0.0,0.0,0.02,0.0,"[82.61,78.17,82.66,72.72,79.05,74.88,90.36,72.43,74.28,90.27]","[0.11,0.11,0.11,0.09,-0.03,0.10,0.12,0.12,0.11,0.10]","[-0.04,-0.04,-0.02,0.06,0.17,-0.03,-0.02,-0.01,-0.02,-0.02]",27.57,1179.37,23,48,,,,,,,0.06,-0.18,-0.92,0.88,0.63,0.0,,0.35,0.54,309.35,82.61,78.17,82.66,72.72,79.05,74.88,90.36,72.43,74.28,90.27,0.11,0.11,0.11,0.09,-0.03,0.1,0.12,0.12,0.11,0.1,-0.04,-0.04,-0.02,0.06,0.17,-0.03,-0.02,-0.01,-0.02,-0.02
9893,30.817279815673828,-105.1025619506836,79.68,7.57,0.84,0.09,-0.01,0.0,0.0,0.02,0.0,"[82.58,78.15,82.61,72.62,78.95,74.85,90.30,72.30,74.25,90.16]","[0.11,0.11,0.11,0.09,-0.03,0.10,0.12,0.12,0.11,0.10]","[-0.05,-0.05,-0.03,0.04,0.17,-0.03,-0.02,-0.01,-0.02,-0.02]",28.3,1180.1,23,49,,,,,,,0.06,-0.16,-0.94,0.87,0.66,0.0,,0.24,0.58,264.8,82.58,78.15,82.61,72.62,78.95,74.85,90.3,72.3,74.25,90.16,0.11,0.11,0.11,0.09,-0.03,0.1,0.12,0.12,0.11,0.1,-0.05,-0.05,-0.03,0.04,0.17,-0.03,-0.02,-0.01,-0.02,-0.02
9893,30.817279815673828,-105.1025619506836,79.68,7.57,0.84,0.09,-0.01,0.0,0.0,0.02,0.0,"[82.58,78.15,82.61,72.62,78.95,74.85,90.30,72.30,74.25,90.16]","[0.11,0.11,0.11,0.09,-0.03,0.10,0.12,0.12,0.11,0.10]","[-0.05,-0.05,-0.03,0.04,0.17,-0.03,-0.02,-0.01,-0.02,-0.02]",28.3,1180.1,23,49,,,,,,,0.06,-0.16,-0.94,0.87,0.66,0.0,,0.24,0.58,264.8,82.58,78.15,82.61,72.62,78.95,74.85,90.3,72.3,74.25,90.16,0.11,0.11,0.11,0.09,-0.03,0.1,0.12,0.12,0.11,0.1,-0.05,-0.05,-0.03,0.04,0.17,-0.03,-0.02,-0.01,-0.02,-0.02
9894,30.817279815673828,-105.1025161743164,79.61,7.48,0.83,0.09,-0.01,0.0,-0.0,0.02,0.0,"[82.56,78.13,82.56,72.51,78.85,74.82,90.24,72.18,74.21,90.04]","[0.11,0.11,0.11,0.09,-0.03,0.10,0.12,0.12,0.11,0.10]","[-0.05,-0.05,-0.03,0.03,0.18,-0.03,-0.02,-0.01,-0.02,-0.03]",28.77,1180.57,23,50,,,,,,,0.06,-0.14,-0.95,0.87,0.7,0.0,,0.15,0.57,251.86,82.56,78.13,82.56,72.51,78.85,74.82,90.24,72.18,74.21,90.04,0.11,0.11,0.11,0.09,-0.03,0.1,0.12,0.12,0.11,0.1,-0.05,-0.05,-0.03,0.03,0.18,-0.03,-0.02,-0.01,-0.02,-0.03
