geoid,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,idx_row,idx_col,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,slope,tri,downhill_fraction,dom_angle_deg
69764,30.810991287231445,-105.10477447509766,78.76,9.75,1.08,0.09,0.0,0.0,-0.02,0.02,0.0,"[80.08,74.10,81.40,64.80,78.07,73.36,98.15,73.63,74.20,89.83]","[0.10,0.11,0.12,0.11,-0.06,0.10,0.11,0.11,0.10,0.10]","[-0.07,-0.06,-0.02,0.01,0.13,-0.05,-0.05,-0.04,-0.04,-0.05]",2.32,1154.12,163,0,,,,,,,0.02,-0.19,-0.89,0.96,0.6,0.0,,0.07,0.49,172.64
69764,30.810991287231445,-105.10477447509766,78.76,9.75,1.08,0.09,0.0,0.0,-0.02,0.02,0.0,"[80.08,74.10,81.40,64.80,78.07,73.36,98.15,73.63,74.20,89.83]","[0.10,0.11,0.12,0.11,-0.06,0.10,0.11,0.11,0.10,0.10]","[-0.07,-0.06,-0.02,0.01,0.13,-0.05,-0.05,-0.04,-0.04,-0.05]",2.32,1154.12,163,0,,,,,,,0.02,-0.19,-0.89,0.96,0.6,0.0,,0.07,0.49,172.64
69765,30.810991287231445,-105.10472869873047,78.76,9.75,1.08,0.09,0.0,0.0,-0.02,0.02,0.0,"[80.08,74.10,81.40,64.80,78.07,73.36,98.15,73.63,74.20,89.83]","[0.10,0.11,0.12,0.11,-0.06,0.10,0.11,0.11,0.10,0.10]","[-0.07,-0.06,-0.02,0.01,0.13,-0.05,-0.05,-0.04,-0.04,-0.05]",2.63,1154.43,163,1,,,,,,,0.02,-0.19,-0.89,0.96,0.6,0.0,,0.08,0.53,227.2
69765,30.810991287231445,-105.10472869873047,78.76,9.75,1.08,0.09,0.0,0.0,-0.02,0.02,0.0,"[80.08,74.10,81.40,64.80,78.07,73.36,98.15,73.63,74.20,89.83]","[0.10,0.11,0.12,0.11,-0.06,0.10,0.11,0.11,0.10,0.10]","[-0.07,-0.06,-0.02,0.01,0.13,-0.05,-0.05,-0.04,-0.04,-0.05]",2.63,1154.43,163,1,,,,,,,0.02,-0.19,-0.89,0.96,0.6,0.0,,0.08,0.53,227.2
69766,30.810991287231445,-105.10467529296875,78.76,9.75,1.08,0.09,0.0,0.0,-0.02,0.02,0.0,"[80.08,74.10,81.40,64.80,78.07,73.36,98.15,73.63,74.20,89.83]","[0.10,0.11,0.12,0.11,-0.06,0.10,0.11,0.11,0.10,0.10]","[-0.07,-0.06,-0.02,0.01,0.13,-0.05,-0.05,-0.04,-0.04,-0.05]",2.8,1154.6,163,2,,,,,,,0.02,-0.19,-0.89,0.96,0.6,0.0,,0.06,0.48,189.29
69766,30.810991287231445,-105.10467529296875,78.76,9.75,1.08,0.09,0.0,0.0,-0.02,0.02,0.0,"[80.08,74.10,81.40,64.80,78.07,73.36,98.15,73.63,74.20,89.83]","[0.10,0.11,0.12,0.11,-0.06,0.10,0.11,0.11,0.10,0.10]","[-0.07,-0.06,-0.02,0.01,0.13,-0.05,-0.05,-0.04,-0.04,-0.05]",2.8,1154.6,163,2,,,,,,,0.02,-0.19,-0.89,0.96,0.6,0.0,,0.06,0.48,189.29
69767,30.810991287231445,-105.10462951660156,78.76,9.7,1.08,0.09,0.0,0.0,-0.02,0.02,0.0,"[80.12,74.06,81.46,64.79,78.06,73.38,98.15,73.59,74.22,89.82]","[0.10,0.11,0.12,0.11,-0.06,0.10,0.11,0.11,0.10,0.10]","[-0.07,-0.06,-0.02,0.01,0.13,-0.05,-0.05,-0.04,-0.04,-0.05]",2.95,1154.75,163,3,,,,,,,0.02,-0.19,-0.9,0.97,0.6,0.0,,0.05,0.6,227.02
69767,30.810991287231445,-105.10462951660156,78.76,9.7,1.08,0.09,0.0,0.0,-0.02,0.02,0.0,"[80.12,74.06,81.46,64.79,78.06,73.38,98.15,73.59,74.22,89.82]","[0.10,0.11,0.12,0.11,-0.06,0.10,0.11,0.11,0.10,0.10]","[-0.07,-0.06,-0.02,0.01,0.13,-0.05,-0.05,-0.04,-0.04,-0.05]",2.95,1154.75,163,3,,,,,,,0.02,-0.19,-0.9,0.97,0.6,0.0,,0.05,0.6,227.02
69768,30.810991287231445,-105.1045913696289,78.76,9.62,1.07,0.09,-0.0,0.0,-0.02,0.01,0.0,"[80.18,73.99,81.55,64.77,78.03,73.41,98.15,73.54,74.24,89.79]","[0.10,0.11,0.12,0.12,-0.06,0.10,0.11,0.11,0.10,0.10]","[-0.07,-0.06,-0.02,0.01,0.14,-0.05,-0.05,-0.04,-0.04,-0.05]",2.76,1154.55,163,4,,,,,,,0.01,-0.19,-0.91,0.98,0.61,0.0,,0.13,0.52,217.13
69768,30.810991287231445,-105.1045913696289,78.76,9.62,1.07,0.09,-0.0,0.0,-0.02,0.01,0.0,"[80.18,73.99,81.55,64.77,78.03,73.41,98.15,73.54,74.24,89.79]","[0.10,0.11,0.12,0.12,-0.06,0.10,0.11,0.11,0.10,0.10]","[-0.07,-0.06,-0.02,0.01,0.14,-0.05,-0.05,-0.04,-0.04,-0.05]",2.76,1154.55,163,4,,,,,,,0.01,-0.19,-0.91,0.98,0.61,0.0,,0.13,0.52,217.13
