geoid,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,idx_row,idx_col,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,slope,tri,downhill_fraction,dom_angle_deg
137995,30.813119888305664,-105.09437561035156,79.09,7.32,0.81,0.08,-0.01,0.0,-0.03,0.01,0.0,"[81.99,77.64,79.36,78.27,76.61,73.55,88.90,72.73,72.53,89.31]","[0.11,0.11,0.11,0.06,-0.05,0.09,0.11,0.11,0.10,0.10]","[-0.07,-0.05,-0.04,0.12,0.08,-0.07,-0.05,-0.05,-0.07,-0.06]",32.58,1184.38,193,386,,,,,,,0.17,-0.1,-0.74,0.64,0.79,0.02,,0.22,0.5,212.68
137995,30.813119888305664,-105.09437561035156,79.09,7.32,0.81,0.08,-0.01,0.0,-0.03,0.01,0.0,"[81.99,77.64,79.36,78.27,76.61,73.55,88.90,72.73,72.53,89.31]","[0.11,0.11,0.11,0.06,-0.05,0.09,0.11,0.11,0.10,0.10]","[-0.07,-0.05,-0.04,0.12,0.08,-0.07,-0.05,-0.05,-0.07,-0.06]",32.58,1184.38,193,386,,,,,,,0.17,-0.1,-0.74,0.64,0.79,0.02,,0.22,0.5,212.68
137996,30.813119888305664,-105.0943374633789,79.11,7.33,0.81,0.08,-0.01,0.0,-0.03,0.01,0.0,"[82.00,77.66,79.45,78.28,76.63,73.55,88.92,72.72,72.52,89.33]","[0.10,0.11,0.11,0.06,-0.05,0.09,0.11,0.11,0.10,0.09]","[-0.07,-0.05,-0.04,0.12,0.08,-0.07,-0.05,-0.05,-0.07,-0.06]",32.89,1184.69,193,387,,,,,,,0.17,-0.1,-0.73,0.64,0.79,0.02,,0.2,0.5,277.16
137996,30.813119888305664,-105.0943374633789,79.11,7.33,0.81,0.08,-0.01,0.0,-0.03,0.01,0.0,"[82.00,77.66,79.45,78.28,76.63,73.55,88.92,72.72,72.52,89.33]","[0.10,0.11,0.11,0.06,-0.05,0.09,0.11,0.11,0.10,0.09]","[-0.07,-0.05,-0.04,0.12,0.08,-0.07,-0.05,-0.05,-0.07,-0.06]",32.89,1184.69,193,387,,,,,,,0.17,-0.1,-0.73,0.64,0.79,0.02,,0.2,0.5,277.16
137997,30.813119888305664,-105.09432220458984,79.13,7.34,0.82,0.08,-0.01,0.0,-0.02,0.01,0.0,"[82.02,77.69,79.55,78.29,76.66,73.56,88.93,72.70,72.51,89.35]","[0.10,0.11,0.11,0.06,-0.05,0.09,0.11,0.11,0.10,0.09]","[-0.07,-0.05,-0.04,0.12,0.08,-0.07,-0.05,-0.05,-0.06,-0.06]",33.18,1184.98,193,388,,,,,,,0.16,-0.11,-0.73,0.65,0.77,0.02,,0.2,0.5,240.48
137997,30.813119888305664,-105.09432220458984,79.13,7.34,0.82,0.08,-0.01,0.0,-0.02,0.01,0.0,"[82.02,77.69,79.55,78.29,76.66,73.56,88.93,72.70,72.51,89.35]","[0.10,0.11,0.11,0.06,-0.05,0.09,0.11,0.11,0.10,0.09]","[-0.07,-0.05,-0.04,0.12,0.08,-0.07,-0.05,-0.05,-0.06,-0.06]",33.18,1184.98,193,388,,,,,,,0.16,-0.11,-0.73,0.65,0.77,0.02,,0.2,0.5,240.48
137998,30.813119888305664,-105.09429931640625,79.15,7.35,0.82,0.08,-0.01,0.0,-0.02,0.01,0.0,"[82.03,77.72,79.65,78.30,76.69,73.57,88.95,72.69,72.51,89.38]","[0.10,0.11,0.11,0.06,-0.05,0.09,0.11,0.11,0.10,0.09]","[-0.07,-0.05,-0.04,0.12,0.08,-0.07,-0.05,-0.05,-0.06,-0.06]",33.48,1185.28,193,389,,,,,,,0.16,-0.12,-0.73,0.66,0.75,0.02,,0.18,0.5,331.11
137998,30.813119888305664,-105.09429931640625,79.15,7.35,0.82,0.08,-0.01,0.0,-0.02,0.01,0.0,"[82.03,77.72,79.65,78.30,76.69,73.57,88.95,72.69,72.51,89.38]","[0.10,0.11,0.11,0.06,-0.05,0.09,0.11,0.11,0.10,0.09]","[-0.07,-0.05,-0.04,0.12,0.08,-0.07,-0.05,-0.05,-0.06,-0.06]",33.48,1185.28,193,389,,,,,,,0.16,-0.12,-0.73,0.66,0.75,0.02,,0.18,0.5,331.11
137999,30.813119888305664,-105.0942611694336,79.17,7.35,0.82,0.08,-0.01,0.0,-0.03,0.01,0.0,"[82.05,77.75,79.75,78.32,76.71,73.58,88.96,72.67,72.51,89.40]","[0.10,0.11,0.11,0.06,-0.05,0.09,0.11,0.11,0.10,0.09]","[-0.07,-0.06,-0.04,0.12,0.08,-0.07,-0.05,-0.05,-0.06,-0.06]",33.68,1185.48,193,390,,,,,,,0.16,-0.12,-0.73,0.66,0.73,0.02,,0.18,0.5,188.06
137999,30.813119888305664,-105.0942611694336,79.17,7.35,0.82,0.08,-0.01,0.0,-0.03,0.01,0.0,"[82.05,77.75,79.75,78.32,76.71,73.58,88.96,72.67,72.51,89.40]","[0.10,0.11,0.11,0.06,-0.05,0.09,0.11,0.11,0.10,0.09]","[-0.07,-0.06,-0.04,0.12,0.08,-0.07,-0.05,-0.05,-0.06,-0.06]",33.68,1185.48,193,390,,,,,,,0.16,-0.12,-0.73,0.66,0.73,0.02,,0.18,0.5,188.06
138000,30.813119888305664,-105.09423828125,79.19,7.36,0.82,0.08,-0.01,0.0,-0.03,0.01,0.0,"[82.07,77.78,79.85,78.33,76.74,73.59,88.98,72.66,72.51,89.43]","[0.10,0.11,0.11,0.06,-0.05,0.09,0.11,0.11,0.10,0.09]","[-0.08,-0.06,-0.04,0.12,0.08,-0.07,-0.05,-0.05,-0.06,-0.06]",33.92,1185.72,193,391,,,,,,,0.16,-0.13,-0.72,0.67,0.71,0.02,,0.19,0.5,217.24
