geoid,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,idx_row,idx_col,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,slope,tri,downhill_fraction,dom_angle_deg
138188,30.813119888305664,-105.08917236328125,79.33,7.0,0.78,0.1,-0.01,0.0,-0.04,0.02,0.0,"[81.77,77.65,86.05,75.52,77.40,73.14,89.19,72.06,71.79,88.77]","[0.12,0.12,0.12,0.05,-0.03,0.10,0.12,0.13,0.11,0.11]","[-0.08,-0.07,-0.06,0.09,0.07,-0.07,-0.06,-0.05,-0.07,-0.06]",33.02,1184.81,193,579,,,,,,,0.2,-0.21,-0.87,0.59,0.56,0.0,,0.04,0.5,225.68
138188,30.813119888305664,-105.08917236328125,79.33,7.0,0.78,0.1,-0.01,0.0,-0.04,0.02,0.0,"[81.77,77.65,86.05,75.52,77.40,73.14,89.19,72.06,71.79,88.77]","[0.12,0.12,0.12,0.05,-0.03,0.10,0.12,0.13,0.11,0.11]","[-0.08,-0.07,-0.06,0.09,0.07,-0.07,-0.06,-0.05,-0.07,-0.06]",33.02,1184.81,193,579,,,,,,,0.2,-0.21,-0.87,0.59,0.56,0.0,,0.04,0.5,225.68
138189,30.813119888305664,-105.08914184570312,79.35,7.0,0.78,0.1,-0.01,0.0,-0.04,0.02,0.0,"[81.78,77.67,86.07,75.54,77.43,73.14,89.21,72.06,71.82,88.78]","[0.12,0.12,0.12,0.05,-0.03,0.10,0.12,0.13,0.11,0.11]","[-0.08,-0.07,-0.06,0.09,0.07,-0.07,-0.06,-0.05,-0.07,-0.06]",33.13,1184.93,193,580,,,,,,,0.19,-0.21,-0.88,0.59,0.57,0.0,,0.04,0.5,133.21
138189,30.813119888305664,-105.08914184570312,79.35,7.0,0.78,0.1,-0.01,0.0,-0.04,0.02,0.0,"[81.78,77.67,86.07,75.54,77.43,73.14,89.21,72.06,71.82,88.78]","[0.12,0.12,0.12,0.05,-0.03,0.10,0.12,0.13,0.11,0.11]","[-0.08,-0.07,-0.06,0.09,0.07,-0.07,-0.06,-0.05,-0.07,-0.06]",33.13,1184.93,193,580,,,,,,,0.19,-0.21,-0.88,0.59,0.57,0.0,,0.04,0.5,133.21
138190,30.813119888305664,-105.08912658691406,79.37,6.99,0.78,0.1,-0.01,0.0,-0.04,0.02,0.0,"[81.79,77.69,86.10,75.56,77.46,73.14,89.23,72.07,71.85,88.78]","[0.12,0.12,0.12,0.05,-0.03,0.10,0.12,0.13,0.11,0.11]","[-0.08,-0.07,-0.06,0.08,0.07,-0.07,-0.06,-0.05,-0.07,-0.06]",33.26,1185.06,193,581,,,,,,,0.19,-0.2,-0.88,0.6,0.57,0.0,,0.04,0.5,272.69
138190,30.813119888305664,-105.08912658691406,79.37,6.99,0.78,0.1,-0.01,0.0,-0.04,0.02,0.0,"[81.79,77.69,86.10,75.56,77.46,73.14,89.23,72.07,71.85,88.78]","[0.12,0.12,0.12,0.05,-0.03,0.10,0.12,0.13,0.11,0.11]","[-0.08,-0.07,-0.06,0.08,0.07,-0.07,-0.06,-0.05,-0.07,-0.06]",33.26,1185.06,193,581,,,,,,,0.19,-0.2,-0.88,0.6,0.57,0.0,,0.04,0.5,272.69
138191,30.813119888305664,-105.0890884399414,79.38,6.98,0.78,0.1,-0.01,0.0,-0.04,0.02,0.0,"[81.81,77.71,86.12,75.58,77.48,73.14,89.24,72.07,71.88,88.79]","[0.12,0.12,0.12,0.05,-0.03,0.10,0.12,0.13,0.11,0.11]","[-0.08,-0.07,-0.06,0.08,0.07,-0.07,-0.06,-0.05,-0.07,-0.06]",33.37,1185.17,193,582,,,,,,,0.19,-0.2,-0.89,0.61,0.58,0.0,,0.04,0.5,85.87
138191,30.813119888305664,-105.0890884399414,79.38,6.98,0.78,0.1,-0.01,0.0,-0.04,0.02,0.0,"[81.81,77.71,86.12,75.58,77.48,73.14,89.24,72.07,71.88,88.79]","[0.12,0.12,0.12,0.05,-0.03,0.10,0.12,0.13,0.11,0.11]","[-0.08,-0.07,-0.06,0.08,0.07,-0.07,-0.06,-0.05,-0.07,-0.06]",33.37,1185.17,193,582,,,,,,,0.19,-0.2,-0.89,0.61,0.58,0.0,,0.04,0.5,85.87
138192,30.813119888305664,-105.08905792236328,79.4,6.98,0.78,0.1,-0.01,0.0,-0.04,0.02,0.0,"[81.82,77.73,86.15,75.61,77.51,73.15,89.26,72.07,71.91,88.80]","[0.12,0.12,0.13,0.05,-0.03,0.11,0.12,0.13,0.12,0.11]","[-0.08,-0.07,-0.06,0.08,0.07,-0.07,-0.06,-0.05,-0.06,-0.06]",33.52,1185.32,193,583,,,,,,,0.18,-0.2,-0.89,0.62,0.58,0.0,,0.05,0.53,212.74
138192,30.813119888305664,-105.08905792236328,79.4,6.98,0.78,0.1,-0.01,0.0,-0.04,0.02,0.0,"[81.82,77.73,86.15,75.61,77.51,73.15,89.26,72.07,71.91,88.80]","[0.12,0.12,0.13,0.05,-0.03,0.11,0.12,0.13,0.12,0.11]","[-0.08,-0.07,-0.06,0.08,0.07,-0.07,-0.06,-0.05,-0.06,-0.06]",33.52,1185.32,193,583,,,,,,,0.18,-0.2,-0.89,0.62,0.58,0.0,,0.05,0.53,212.74
138193,30.813119888305664,-105.08902740478516,79.42,6.97,0.77,0.1,-0.01,0.0,-0.04,0.02,0.0,"[81.83,77.75,86.17,75.63,77.54,73.15,89.28,72.08,71.94,88.80]","[0.12,0.12,0.13,0.05,-0.03,0.11,0.12,0.13,0.12,0.11]","[-0.08,-0.07,-0.06,0.08,0.07,-0.07,-0.06,-0.05,-0.06,-0.06]",33.61,1185.41,193,584,,,,,,,0.18,-0.19,-0.9,0.62,0.59,0.0,,0.03,0.45,142.9
138193,30.813119888305664,-105.08902740478516,79.42,6.97,0.77,0.1,-0.01,0.0,-0.04,0.02,0.0,"[81.83,77.75,86.17,75.63,77.54,73.15,89.28,72.08,71.94,88.80]","[0.12,0.12,0.13,0.05,-0.03,0.11,0.12,0.13,0.12,0.11]","[-0.08,-0.07,-0.06,0.08,0.07,-0.07,-0.06,-0.05,-0.06,-0.06]",33.61,1185.41,193,584,,,,,,,0.18,-0.19,-0.9,0.62,0.59,0.0,,0.03,0.45,142.9
138194,30.813119888305664,-105.0890121459961,79.44,6.96,0.77,0.1,-0.01,0.0,-0.04,0.02,0.0,"[81.84,77.78,86.20,75.65,77.57,73.15,89.30,72.08,71.97,88.81]","[0.12,0.12,0.13,0.05,-0.03,0.11,0.12,0.13,0.12,0.11]","[-0.08,-0.07,-0.06,0.07,0.07,-0.07,-0.06,-0.05,-0.06,-0.06]",33.71,1185.51,193,585,,,,,,,0.17,-0.19,-0.9,0.63,0.6,0.0,,0.03,0.5,216.01
