geoid,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,idx_row,idx_col,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,slope,tri,downhill_fraction,dom_angle_deg
137802,30.813119888305664,-105.09957122802734,79.6,7.6,0.84,0.08,-0.01,0.0,0.01,0.02,0.0,"[81.72,77.29,82.05,79.07,78.73,73.73,89.32,71.00,73.72,89.32]","[0.10,0.10,0.11,0.07,-0.06,0.09,0.11,0.11,0.10,0.09]","[-0.05,-0.04,-0.02,0.11,0.16,-0.03,-0.01,-0.01,-0.02,-0.02]",18.79,1170.58,193,193,,,,,,,0.05,-0.05,-0.86,0.9,0.88,0.0,,0.04,0.53,236.93
137802,30.813119888305664,-105.09957122802734,79.6,7.6,0.84,0.08,-0.01,0.0,0.01,0.02,0.0,"[81.72,77.29,82.05,79.07,78.73,73.73,89.32,71.00,73.72,89.32]","[0.10,0.10,0.11,0.07,-0.06,0.09,0.11,0.11,0.10,0.09]","[-0.05,-0.04,-0.02,0.11,0.16,-0.03,-0.01,-0.01,-0.02,-0.02]",18.79,1170.58,193,193,,,,,,,0.05,-0.05,-0.86,0.9,0.88,0.0,,0.04,0.53,236.93
137803,30.813119888305664,-105.09954833984375,79.58,7.62,0.85,0.08,-0.01,0.0,0.0,0.02,0.0,"[81.70,77.27,82.02,79.05,78.74,73.71,89.31,71.01,73.70,89.32]","[0.10,0.10,0.11,0.07,-0.06,0.09,0.11,0.11,0.10,0.09]","[-0.05,-0.04,-0.02,0.11,0.16,-0.04,-0.02,-0.01,-0.02,-0.03]",18.9,1170.7,193,194,,,,,,,0.05,-0.05,-0.86,0.89,0.88,0.0,,0.04,0.64,254.72
137803,30.813119888305664,-105.09954833984375,79.58,7.62,0.85,0.08,-0.01,0.0,0.0,0.02,0.0,"[81.70,77.27,82.02,79.05,78.74,73.71,89.31,71.01,73.70,89.32]","[0.10,0.10,0.11,0.07,-0.06,0.09,0.11,0.11,0.10,0.09]","[-0.05,-0.04,-0.02,0.11,0.16,-0.04,-0.02,-0.01,-0.02,-0.03]",18.9,1170.7,193,194,,,,,,,0.05,-0.05,-0.86,0.89,0.88,0.0,,0.04,0.64,254.72
137804,30.813119888305664,-105.09951782226562,79.57,7.64,0.85,0.08,-0.01,0.0,0.0,0.02,0.0,"[81.68,77.25,81.99,79.03,78.74,73.69,89.29,71.01,73.69,89.32]","[0.10,0.10,0.11,0.07,-0.05,0.09,0.11,0.11,0.10,0.09]","[-0.06,-0.05,-0.03,0.11,0.15,-0.04,-0.02,-0.02,-0.03,-0.03]",18.95,1170.75,193,195,,,,,,,0.05,-0.05,-0.85,0.89,0.89,0.0,,0.03,0.63,248.18
137804,30.813119888305664,-105.09951782226562,79.57,7.64,0.85,0.08,-0.01,0.0,0.0,0.02,0.0,"[81.68,77.25,81.99,79.03,78.74,73.69,89.29,71.01,73.69,89.32]","[0.10,0.10,0.11,0.07,-0.05,0.09,0.11,0.11,0.10,0.09]","[-0.06,-0.05,-0.03,0.11,0.15,-0.04,-0.02,-0.02,-0.03,-0.03]",18.95,1170.75,193,195,,,,,,,0.05,-0.05,-0.85,0.89,0.89,0.0,,0.03,0.63,248.18
137805,30.813119888305664,-105.09950256347656,79.56,7.65,0.85,0.08,-0.01,0.0,0.0,0.03,0.0,"[81.67,77.24,81.98,79.02,78.75,73.68,89.28,71.01,73.68,89.31]","[0.10,0.10,0.11,0.07,-0.05,0.09,0.11,0.11,0.10,0.09]","[-0.06,-0.05,-0.03,0.10,0.15,-0.04,-0.02,-0.02,-0.03,-0.03]",18.94,1170.74,193,196,,,,,,,0.05,-0.05,-0.86,0.89,0.89,0.0,,0.04,0.62,142.73
137805,30.813119888305664,-105.09950256347656,79.56,7.65,0.85,0.08,-0.01,0.0,0.0,0.03,0.0,"[81.67,77.24,81.98,79.02,78.75,73.68,89.28,71.01,73.68,89.31]","[0.10,0.10,0.11,0.07,-0.05,0.09,0.11,0.11,0.10,0.09]","[-0.06,-0.05,-0.03,0.10,0.15,-0.04,-0.02,-0.02,-0.03,-0.03]",18.94,1170.74,193,196,,,,,,,0.05,-0.05,-0.86,0.89,0.89,0.0,,0.04,0.62,142.73
137806,30.813119888305664,-105.0994644165039,79.56,7.65,0.85,0.08,-0.01,0.0,0.0,0.03,0.0,"[81.66,77.24,81.98,79.00,78.75,73.68,89.26,71.01,73.67,89.31]","[0.10,0.10,0.11,0.07,-0.05,0.09,0.11,0.11,0.10,0.09]","[-0.05,-0.04,-0.02,0.10,0.16,-0.04,-0.02,-0.01,-0.03,-0.03]",18.8,1170.6,193,197,,,,,,,0.05,-0.05,-0.86,0.9,0.89,0.0,,0.09,0.46,179.98
137806,30.813119888305664,-105.0994644165039,79.56,7.65,0.85,0.08,-0.01,0.0,0.0,0.03,0.0,"[81.66,77.24,81.98,79.00,78.75,73.68,89.26,71.01,73.67,89.31]","[0.10,0.10,0.11,0.07,-0.05,0.09,0.11,0.11,0.10,0.09]","[-0.05,-0.04,-0.02,0.10,0.16,-0.04,-0.02,-0.01,-0.03,-0.03]",18.8,1170.6,193,197,,,,,,,0.05,-0.05,-0.86,0.9,0.89,0.0,,0.09,0.46,179.98
