geoid,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,idx_row,idx_col,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,slope,tri,downhill_fraction,dom_angle_deg
137609,30.813119888305664,-105.10477447509766,78.7,6.62,0.74,0.09,-0.01,0.0,-0.01,0.0,0.0,"[81.69,76.15,80.11,67.23,78.65,73.06,96.33,71.22,74.25,88.32]","[0.11,0.11,0.11,0.11,-0.08,0.09,0.11,0.12,0.10,0.10]","[-0.04,-0.04,-0.02,0.06,0.15,-0.05,-0.03,-0.02,-0.04,-0.03]",10.51,1162.31,193,0,,,,,,,0.01,-0.19,-0.87,0.97,0.59,0.0,,0.08,0.51,151.35
137609,30.813119888305664,-105.10477447509766,78.7,6.62,0.74,0.09,-0.01,0.0,-0.01,0.0,0.0,"[81.69,76.15,80.11,67.23,78.65,73.06,96.33,71.22,74.25,88.32]","[0.11,0.11,0.11,0.11,-0.08,0.09,0.11,0.12,0.10,0.10]","[-0.04,-0.04,-0.02,0.06,0.15,-0.05,-0.03,-0.02,-0.04,-0.03]",10.51,1162.31,193,0,,,,,,,0.01,-0.19,-0.87,0.97,0.59,0.0,,0.08,0.51,151.35
137610,30.813119888305664,-105.10475158691406,78.7,6.62,0.74,0.09,-0.01,0.0,-0.01,0.0,0.0,"[81.69,76.15,80.11,67.23,78.65,73.06,96.33,71.22,74.25,88.32]","[0.11,0.11,0.11,0.11,-0.08,0.09,0.11,0.12,0.10,0.10]","[-0.04,-0.04,-0.02,0.06,0.15,-0.05,-0.03,-0.02,-0.04,-0.03]",10.78,1162.58,193,1,,,,,,,0.01,-0.19,-0.87,0.97,0.59,0.0,,0.08,0.53,235.08
137610,30.813119888305664,-105.10475158691406,78.7,6.62,0.74,0.09,-0.01,0.0,-0.01,0.0,0.0,"[81.69,76.15,80.11,67.23,78.65,73.06,96.33,71.22,74.25,88.32]","[0.11,0.11,0.11,0.11,-0.08,0.09,0.11,0.12,0.10,0.10]","[-0.04,-0.04,-0.02,0.06,0.15,-0.05,-0.03,-0.02,-0.04,-0.03]",10.78,1162.58,193,1,,,,,,,0.01,-0.19,-0.87,0.97,0.59,0.0,,0.08,0.53,235.08
137611,30.813119888305664,-105.1047134399414,78.7,6.62,0.74,0.09,-0.01,0.0,-0.01,0.0,0.0,"[81.69,76.15,80.11,67.23,78.65,73.06,96.33,71.22,74.25,88.32]","[0.11,0.11,0.11,0.11,-0.08,0.09,0.11,0.12,0.10,0.10]","[-0.04,-0.04,-0.02,0.06,0.15,-0.05,-0.03,-0.02,-0.04,-0.03]",10.99,1162.79,193,2,,,,,,,0.01,-0.19,-0.87,0.97,0.59,0.0,,0.07,0.58,221.65
137611,30.813119888305664,-105.1047134399414,78.7,6.62,0.74,0.09,-0.01,0.0,-0.01,0.0,0.0,"[81.69,76.15,80.11,67.23,78.65,73.06,96.33,71.22,74.25,88.32]","[0.11,0.11,0.11,0.11,-0.08,0.09,0.11,0.12,0.10,0.10]","[-0.04,-0.04,-0.02,0.06,0.15,-0.05,-0.03,-0.02,-0.04,-0.03]",10.99,1162.79,193,2,,,,,,,0.01,-0.19,-0.87,0.97,0.59,0.0,,0.07,0.58,221.65
137612,30.813119888305664,-105.10469818115234,78.7,6.62,0.74,0.09,-0.01,0.0,-0.01,0.0,0.0,"[81.69,76.15,80.11,67.23,78.65,73.06,96.33,71.22,74.25,88.32]","[0.11,0.11,0.11,0.11,-0.08,0.09,0.11,0.12,0.10,0.10]","[-0.04,-0.04,-0.02,0.06,0.15,-0.05,-0.03,-0.02,-0.04,-0.03]",11.11,1162.91,193,3,,,,,,,0.01,-0.19,-0.87,0.97,0.59,0.0,,0.05,0.53,189.81
137612,30.813119888305664,-105.10469818115234,78.7,6.62,0.74,0.09,-0.01,0.0,-0.01,0.0,0.0,"[81.69,76.15,80.11,67.23,78.65,73.06,96.33,71.22,74.25,88.32]","[0.11,0.11,0.11,0.11,-0.08,0.09,0.11,0.12,0.10,0.10]","[-0.04,-0.04,-0.02,0.06,0.15,-0.05,-0.03,-0.02,-0.04,-0.03]",11.11,1162.91,193,3,,,,,,,0.01,-0.19,-0.87,0.97,0.59,0.0,,0.05,0.53,189.81
137613,30.813119888305664,-105.10467529296875,78.7,6.62,0.74,0.09,-0.01,0.0,-0.01,0.0,0.0,"[81.69,76.15,80.11,67.23,78.65,73.06,96.33,71.22,74.25,88.32]","[0.11,0.11,0.11,0.11,-0.08,0.09,0.11,0.12,0.10,0.10]","[-0.04,-0.04,-0.02,0.06,0.15,-0.05,-0.03,-0.02,-0.04,-0.03]",11.14,1162.94,193,4,,,,,,,0.01,-0.19,-0.87,0.97,0.59,0.0,,0.06,0.53,153.8
137613,30.813119888305664,-105.10467529296875,78.7,6.62,0.74,0.09,-0.01,0.0,-0.01,0.0,0.0,"[81.69,76.15,80.11,67.23,78.65,73.06,96.33,71.22,74.25,88.32]","[0.11,0.11,0.11,0.11,-0.08,0.09,0.11,0.12,0.10,0.10]","[-0.04,-0.04,-0.02,0.06,0.15,-0.05,-0.03,-0.02,-0.04,-0.03]",11.14,1162.94,193,4,,,,,,,0.01,-0.19,-0.87,0.97,0.59,0.0,,0.06,0.53,153.8
