geoid,idx_row,idx_col,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,tri,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,downhill_fraction,dom_clock_dir,lstf_2016,lstf_2017,lstf_2018,lstf_2019,lstf_2020,lstf_2021,lstf_2022,lstf_2023,lstf_2024,lstf_2025,ndvi_2016,ndvi_2017,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_2024,ndvi_2025,ndmi_2016,ndmi_2017,ndmi_2018,ndmi_2019,ndmi_2020,ndmi_2021,ndmi_2022,ndmi_2023,ndmi_2024,ndmi_2025
15,0,15,32.85430908203125,-96.86896514892578,95.11,15.6,0,0.35,0.0,0,0.14,-0.02,0,"[87.31,102.91]","[0.35,0.35]","[0.15,0.13]",22.21,134.96,0,0,0,0,0,0,0,0.02,-0.81,0.02,0,0,0,0,,87.31,102.91,,,,,,,,,0.35,0.35,,,,,,,,,0.15,0.13,,,,,,,,
16,0,16,32.85430908203125,-96.86717987060547,93.12,20.8,0,0.34,-0.01,0,0.11,-0.03,0,"[82.72,103.52]","[0.35,0.34]","[0.13,0.10]",22.59,135.35,0,0,0,0,0,0,0,-0.47,-0.72,0.22,0,0,0,0,,82.72,103.52,,,,,,,,,0.35,0.34,,,,,,,,,0.13,0.1,,,,,,,,
17,0,17,32.85430908203125,-96.86540985107422,50.08,90.26,0,0.39,-0.05,0,0.25,-0.06,0,"[4.95,95.21]","[0.41,0.37]","[0.28,0.21]",22.4,135.16,0,0,0,0,0,0,0,-0.74,-0.63,0.37,0,0,0,0,,4.95,95.21,,,,,,,,,0.41,0.37,,,,,,,,,0.28,0.21,,,,,,,,
18,0,18,32.85430908203125,-96.86359405517578,47.37,87.7,0,0.03,-0.07,0,0.27,0.05,0,"[3.52,91.22]","[0.06,-0.00]","[0.25,0.30]",21.53,134.29,0,0,0,0,0,0,0,-0.57,0.34,-0.58,0,0,0,0,,3.52,91.22,,,,,,,,,0.06,-0.0,,,,,,,,,0.25,0.3,,,,,,,,
19,0,19,32.85430908203125,-96.86178588867188,55.42,84.81,0,0.23,-0.06,0,0.22,0.02,0,"[13.01,97.82]","[0.26,0.19]","[0.21,0.23]",22.97,135.72,0,0,0,0,0,0,0,-0.44,-0.16,-0.19,0,0,0,0,,13.01,97.82,,,,,,,,,0.26,0.19,,,,,,,,,0.21,0.23,,,,,,,,
20,0,20,32.85430908203125,-96.85997772216797,85.57,37.74,0,0.34,-0.02,0,0.08,-0.03,0,"[66.70,104.44]","[0.35,0.32]","[0.09,0.06]",28.19,140.94,0,0,0,0,0,0,0,0.12,-0.08,0.49,0,0,0,0,,66.7,104.44,,,,,,,,,0.35,0.32,,,,,,,,,0.09,0.06,,,,,,,,
21,0,21,32.85430908203125,-96.85819244384766,112.23,-12.22,0,0.15,0.0,0,-0.03,0.0,0,"[118.34,106.12]","[0.15,0.15]","[-0.03,-0.03]",30.48,143.23,0,0,0,0,0,0,0,-0.22,-0.17,0.03,0,0,0,0,,118.34,106.12,,,,,,,,,0.15,0.15,,,,,,,,,-0.03,-0.03,,,,,,,,
22,0,22,32.85430908203125,-96.8564224243164,113.54,-14.35,0,0.2,0.01,0,-0.01,0.02,0,"[120.72,106.36]","[0.19,0.21]","[-0.02,-0.00]",31.54,144.29,0,0,0,0,0,0,0,-0.59,-0.68,0.83,0,0,0,0,,120.72,106.36,,,,,,,,,0.19,0.21,,,,,,,,,-0.02,-0.0,,,,,,,,
23,0,23,32.85430908203125,-96.85460662841797,113.83,-14.25,0,0.28,-0.01,0,0.03,-0.02,0,"[120.95,106.70]","[0.29,0.28]","[0.04,0.02]",32.59,145.34,0,0,0,0,0,0,0,0.48,0.73,0.44,0,0,0,0,,120.95,106.7,,,,,,,,,0.29,0.28,,,,,,,,,0.04,0.02,,,,,,,,
24,0,24,32.85430908203125,-96.8528060913086,115.46,-13.36,0,0.25,-0.02,0,0.02,-0.03,0,"[122.14,108.78]","[0.26,0.24]","[0.04,0.01]",33.13,145.89,0,0,0,0,0,0,0,0.73,0.82,0.86,0,0,0,0,,122.14,108.78,,,,,,,,,0.26,0.24,,,,,,,,,0.04,0.01,,,,,,,,
25,0,25,32.85430908203125,-96.85099792480469,114.57,-7.18,0,0.18,-0.01,0,-0.04,-0.01,0,"[118.16,110.98]","[0.18,0.17]","[-0.04,-0.05]",33.81,146.56,0,0,0,0,0,0,0,0.2,0.21,0.87,0,0,0,0,,118.16,110.98,,,,,,,,,0.18,0.17,,,,,,,,,-0.04,-0.05,,,,,,,,
26,0,26,32.85430908203125,-96.8492202758789,109.1,6.92,0,0.13,-0.01,0,-0.04,-0.02,0,"[105.64,112.56]","[0.13,0.12]","[-0.04,-0.05]",35.2,147.95,0,0,0,0,0,0,0,-0.46,-0.71,0.41,0,0,0,0,,105.64,112.56,,,,,,,,,0.13,0.12,,,,,,,,,-0.04,-0.05,,,,,,,,
27,0,27,32.85430908203125,-96.84744262695312,108.46,6.59,0,0.15,-0.01,0,-0.01,-0.02,0,"[105.16,111.75]","[0.15,0.15]","[-0.00,-0.02]",36.09,148.84,0,0,0,0,0,0,0,-0.48,-1.0,0.48,0,0,0,0,,105.16,111.75,,,,,,,,,0.15,0.15,,,,,,,,,-0.0,-0.02,,,,,,,,
28,0,28,32.85430908203125,-96.84562683105469,104.95,3.88,0,0.3,0.01,0,0.04,-0.01,0,"[103.01,106.89]","[0.30,0.30]","[0.05,0.04]",36.92,149.67,0,0,0,0,0,0,0,0.02,-0.41,0.58,0,0,0,0,,103.01,106.89,,,,,,,,,0.3,0.3,,,,,,,,,0.05,0.04,,,,,,,,
