geoid,lat,lon,lstf,lstf_serc,lstf_arc,lstf_flag,ndvi,ndvi_serc,ndvi_arc,ndvi_flag,ndmi,ndmi_serc,ndmi_arc,ndmi_flag,elv_rel,elv,idx_row,idx_col,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,lstf_temporal,ndvi_temporal,ndmi_temporal,ls_land_cover,cl_land_cover,slope,aspect,tri,tpi,anisotropy,downhill_fraction,dom_angle_deg,dom_ptb_lat,dom_ptb_lon,dom_dir_elv,dd_geoid
1560346,30.81180191040039,-105.09607696533203,80.55,7.51,0.84,,0.09,-0.01,0.0,,-0.01,0.01,0.0,,22.18,1173.98,728.0,970.0,,,,,,,0.19,-0.18,-0.79,0.6,0.63,0.01,,,,,,,,0.2,,0.05,0.38,316.87,30.81,-105.1,21.86,
1560347,30.81180191040039,-105.0960693359375,80.55,7.52,0.83,,0.09,-0.01,0.0,,-0.01,0.01,0.0,,22.04,1173.84,728.0,971.0,,,,,,,0.19,-0.17,-0.79,0.6,0.64,0.01,,,,,,,,0.19,,0.08,0.5,336.21,30.81,-105.1,21.76,
1560348,30.81180191040039,-105.09606170654297,80.55,7.52,0.84,,0.09,-0.01,0.0,,-0.01,0.01,0.0,,21.94,1173.74,728.0,972.0,,,,,,,0.19,-0.17,-0.79,0.6,0.65,0.01,,,,,,,,0.18,,0.04,0.5,28.93,30.81,-105.1,22.03,
1560349,30.81180191040039,-105.09605407714844,80.55,7.52,0.84,,0.09,-0.01,0.0,,-0.01,0.01,0.0,,21.84,1173.64,728.0,973.0,,,,,,,0.19,-0.16,-0.78,0.6,0.66,0.01,,,,,,,,0.19,,0.03,0.5,70.62,30.81,-105.1,22.03,
1560350,30.81180191040039,-105.0960464477539,80.55,7.52,0.84,,0.09,-0.01,0.0,,-0.01,0.01,0.0,,21.72,1173.51,728.0,974.0,,,,,,,0.19,-0.16,-0.78,0.6,0.67,0.01,,,,,,,,0.19,,0.0,0.5,158.81,30.81,-105.1,21.84,
1560351,30.81180191040039,-105.09603118896484,80.55,7.53,0.84,,0.09,-0.02,0.0,,-0.01,0.01,0.0,,21.58,1173.38,728.0,975.0,,,,,,,0.19,-0.15,-0.78,0.6,0.68,0.01,,,,,,,,0.2,,0.02,0.5,196.84,30.81,-105.1,21.72,
1560352,30.81180191040039,-105.09602355957031,80.55,7.53,0.84,,0.09,-0.02,0.0,,-0.01,0.01,0.0,,21.43,1173.23,728.0,976.0,,,,,,,0.19,-0.15,-0.78,0.6,0.69,0.01,,,,,,,,0.19,,0.01,0.62,262.83,30.81,-105.1,21.27,
1560353,30.81180191040039,-105.09601593017578,80.55,7.53,0.84,,0.09,-0.02,0.0,,-0.01,0.01,0.0,,21.27,1173.07,728.0,977.0,,,,,,,0.19,-0.14,-0.78,0.6,0.7,0.01,,,,,,,,0.18,,0.06,0.5,288.16,30.81,-105.1,21.13,
1560354,30.81180191040039,-105.09600830078125,80.55,7.53,0.83,,0.09,-0.02,0.0,,-0.01,0.01,0.0,,21.15,1172.95,728.0,978.0,,,,,,,0.19,-0.14,-0.77,0.6,0.71,0.01,,,,,,,,0.15,,0.09,0.5,296.25,30.81,-105.1,20.93,
1560355,30.81180191040039,-105.09600067138672,80.54,7.53,0.84,,0.09,-0.02,0.0,,-0.01,0.01,0.0,,21.05,1172.85,728.0,979.0,,,,,,,0.19,-0.13,-0.77,0.6,0.72,0.01,,,,,,,,0.13,,0.03,0.5,255.47,30.81,-105.1,20.93,
