geoid,lat,lon,lstf,lstf_serc,lstf_arc,lstf_flag,ndvi,ndvi_serc,ndvi_arc,ndvi_flag,ndmi,ndmi_serc,ndmi_arc,ndmi_flag,elv_rel,elv,idx_row,idx_col,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,lstf_temporal,ndvi_temporal,ndmi_temporal,ls_land_cover,cl_land_cover,terrain_classification,slope,aspect,tri,tpi,anisotropy,cgap,downhill_fraction,cgap_uphill,uphill_fraction,dom_angle_deg,dom_dir,dom_ptb_lat,dom_ptb_lon,dom_dir_elv,dd_geoid
122076,30.820165964295093,-105.07462043710916,120.32,3.809999942779541,0.3499999940395355,1.0,0.12,0.0,0.0,,0.0,0.01,0.0,,102.55,1230.11,476.0,229.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.8690000176429749,-0.5479999780654907,0.7039999961853027,0.025,0.26,0.118,"[119.6,118.5,121.2,122.9,116.3,123.4]","[0.1,0.1,0.1,0.1,0.2,0.1]","[-0.0,-0.0,-0.0,-0.0,-0.0,-0.0]",BN,,,,,2.3040887569709656,,0.01957313866399317,0.778218971944483,0.375,0.5657925650732829,0.625,-116.0295921915196,SW,30.82034562735192,-105.07444077405233,106.5,122075
122607,30.82007613276668,-105.07462043710916,120.32,3.809999942779541,0.3499999940395355,1.0,0.12,0.0,0.0,,0.0,0.01,0.0,,104.45,1232.01,476.0,230.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.8690000176429749,-0.5479999780654907,0.7039999961853027,0.025,0.26,0.118,"[119.6,118.5,121.2,122.9,116.3,123.4]","[0.1,0.1,0.1,0.1,0.2,0.1]","[-0.0,-0.0,-0.0,-0.0,-0.0,-0.0]",BN,,,,,2.1272723144910253,,0.07866766218042183,0.9165894629054487,0.375,0.13587878478679016,0.625,163.04015297793498,W,30.820165964295093,-105.07453060558075,106.38,123137
122607,30.82007613276668,-105.07462043710916,120.32,3.809999942779541,0.3499999940395355,1.0,0.12,0.0,0.0,,0.0,0.01,0.0,,104.45,1232.01,476.0,230.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.8690000176429749,-0.5479999780654907,0.7039999961853027,0.025,0.26,0.118,"[119.6,118.5,121.2,122.9,116.3,123.4]","[0.1,0.1,0.1,0.1,0.2,0.1]","[-0.0,-0.0,-0.0,-0.0,-0.0,-0.0]",BN,,,,,2.1272723144910253,,0.07866766218042183,0.9165894629054487,0.375,0.13587878478679016,0.625,163.04015297793498,W,30.820165964295093,-105.07453060558075,106.38,123137
123138,30.819986301238266,-105.07462043710916,120.48,7.650000095367432,0.699999988079071,3.0,0.1,0.0,0.0,,0.0,0.01,0.0,,106.57,1234.13,476.0,231.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.40299999713897705,-0.30799999833106995,0.6449999809265137,0.428,0.553,0.167,"[116.8,119.2,121.9,123.6,116.9,124.5]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.0,-0.0,-0.0,-0.0,0.0,-0.0]",BN,,,,,1.8999506572540261,,0.08050481141645542,0.46424927574777763,0.375,0.10575685169860338,0.625,125.1341930569156,NW,30.819986301238266,-105.07462043710916,106.57,124199
123138,30.819986301238266,-105.07462043710916,120.48,7.650000095367432,0.699999988079071,3.0,0.1,0.0,0.0,,0.0,0.01,0.0,,106.57,1234.13,476.0,231.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.40299999713897705,-0.30799999833106995,0.6449999809265137,0.428,0.553,0.167,"[116.8,119.2,121.9,123.6,116.9,124.5]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.0,-0.0,-0.0,-0.0,0.0,-0.0]",BN,,,,,1.8999506572540261,,0.08050481141645542,0.46424927574777763,0.375,0.10575685169860338,0.625,125.1341930569156,NW,30.819986301238266,-105.07462043710916,106.57,124199
123669,30.819896469709853,-105.07462043710916,120.48,7.650000095367432,0.699999988079071,3.0,0.1,0.0,0.0,,0.0,0.01,0.0,,108.77,1236.33,476.0,232.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.40299999713897705,-0.30799999833106995,0.6449999809265137,0.428,0.553,0.167,"[116.8,119.2,121.9,123.6,116.9,124.5]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.0,-0.0,-0.0,-0.0,0.0,-0.0]",BN,,DSS,,,1.746922293635294,,0.1027208437550596,0.013832970144355361,0.5,0.1724411998353388,0.5,51.85976000552518,NE,30.819716806653027,-105.07462043710916,113.46,123670
123669,30.819896469709853,-105.07462043710916,120.48,7.650000095367432,0.699999988079071,3.0,0.1,0.0,0.0,,0.0,0.01,0.0,,108.77,1236.33,476.0,232.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.40299999713897705,-0.30799999833106995,0.6449999809265137,0.428,0.553,0.167,"[116.8,119.2,121.9,123.6,116.9,124.5]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.0,-0.0,-0.0,-0.0,0.0,-0.0]",BN,,DSS,,,1.746922293635294,,0.1027208437550596,0.013832970144355361,0.5,0.1724411998353388,0.5,51.85976000552518,NE,30.819716806653027,-105.07462043710916,113.46,123670
124200,30.81980663818144,-105.07462043710916,120.48,7.650000095367432,0.699999988079071,3.0,0.1,0.0,0.0,,0.0,0.01,0.0,,111.02,1238.58,476.0,233.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.40299999713897705,-0.30799999833106995,0.6449999809265137,0.428,0.553,0.167,"[116.8,119.2,121.9,123.6,116.9,124.5]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.0,-0.0,-0.0,-0.0,0.0,-0.0]",BN,,,,,1.6618288118816584,,0.11174875733394517,0.2502229457658587,0.375,0.07190908859009881,0.625,36.6070748126087,NE,30.819626975124613,-105.07462043710916,115.76,124201
124200,30.81980663818144,-105.07462043710916,120.48,7.650000095367432,0.699999988079071,3.0,0.1,0.0,0.0,,0.0,0.01,0.0,,111.02,1238.58,476.0,233.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.40299999713897705,-0.30799999833106995,0.6449999809265137,0.428,0.553,0.167,"[116.8,119.2,121.9,123.6,116.9,124.5]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.0,-0.0,-0.0,-0.0,0.0,-0.0]",BN,,,,,1.6618288118816584,,0.11174875733394517,0.2502229457658587,0.375,0.07190908859009881,0.625,36.6070748126087,NE,30.819626975124613,-105.07462043710916,115.76,124201
124731,30.819716806653027,-105.07462043710916,121.63,7.599999904632568,0.6899999976158142,3.0,0.1,0.0,0.0,,0.0,0.01,0.0,,113.46,1241.02,476.0,234.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.5989999771118164,-0.3889999985694885,0.8730000257492065,0.209,0.446,0.023,"[118.2,120.8,122.4,124.7,117.9,125.8]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.0,-0.0,-0.0,-0.0,-0.0,-0.0]",BN,,,,,1.4942765808243141,,0.20348312723987497,0.6564108960320458,0.375,0.02776695296637377,0.625,19.01367438852876,E,30.819626975124613,-105.07453060558075,116.69,124201
124731,30.819716806653027,-105.07462043710916,121.63,7.599999904632568,0.6899999976158142,3.0,0.1,0.0,0.0,,0.0,0.01,0.0,,113.46,1241.02,476.0,234.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.5989999771118164,-0.3889999985694885,0.8730000257492065,0.209,0.446,0.023,"[118.2,120.8,122.4,124.7,117.9,125.8]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.0,-0.0,-0.0,-0.0,-0.0,-0.0]",BN,,,,,1.4942765808243141,,0.20348312723987497,0.6564108960320458,0.375,0.02776695296637377,0.625,19.01367438852876,E,30.819626975124613,-105.07453060558075,116.69,124201
125262,30.819626975124613,-105.07462043710916,121.63,7.599999904632568,0.6899999976158142,3.0,0.1,0.0,0.0,,0.0,0.01,0.0,,115.76,1243.32,476.0,235.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.5989999771118164,-0.3889999985694885,0.8730000257492065,0.209,0.446,0.023,"[118.2,120.8,122.4,124.7,117.9,125.8]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.0,-0.0,-0.0,-0.0,-0.0,-0.0]",BN,,DSS,,,1.35092560861063,,0.12403605165768943,0.6157002179133819,0.5,0.02679148826079425,0.5,-10.265140460212686,E,30.8195371435962,-105.07453060558075,118.23,124732
125262,30.819626975124613,-105.07462043710916,121.63,7.599999904632568,0.6899999976158142,3.0,0.1,0.0,0.0,,0.0,0.01,0.0,,115.76,1243.32,476.0,235.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.5989999771118164,-0.3889999985694885,0.8730000257492065,0.209,0.446,0.023,"[118.2,120.8,122.4,124.7,117.9,125.8]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.0,-0.0,-0.0,-0.0,-0.0,-0.0]",BN,,DSS,,,1.35092560861063,,0.12403605165768943,0.6157002179133819,0.5,0.02679148826079425,0.5,-10.265140460212686,E,30.8195371435962,-105.07453060558075,118.23,124732
125793,30.8195371435962,-105.07462043710916,121.63,7.599999904632568,0.6899999976158142,3.0,0.1,0.0,0.0,,0.0,0.01,0.0,,117.45,1245.01,476.0,236.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.5989999771118164,-0.3889999985694885,0.8730000257492065,0.209,0.446,0.023,"[118.2,120.8,122.4,124.7,117.9,125.8]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.0,-0.0,-0.0,-0.0,-0.0,-0.0]",BN,,DSS,,,1.3900809328956372,,0.07296658963553822,0.033862556072653316,0.5,0.20735064736294695,0.5,-118.66395711028252,SW,30.819716806653027,-105.07444077405233,116.1,125792
125793,30.8195371435962,-105.07462043710916,121.63,7.599999904632568,0.6899999976158142,3.0,0.1,0.0,0.0,,0.0,0.01,0.0,,117.45,1245.01,476.0,236.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.5989999771118164,-0.3889999985694885,0.8730000257492065,0.209,0.446,0.023,"[118.2,120.8,122.4,124.7,117.9,125.8]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.0,-0.0,-0.0,-0.0,-0.0,-0.0]",BN,,DSS,,,1.3900809328956372,,0.07296658963553822,0.033862556072653316,0.5,0.20735064736294695,0.5,-118.66395711028252,SW,30.819716806653027,-105.07444077405233,116.1,125792
126324,30.819447312067787,-105.07462043710916,122.57,7.320000171661377,0.6700000166893005,3.0,0.1,0.0,0.0,,-0.1,0.01,0.0,,118.83,1246.39,476.0,237.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.11400000005960464,0.008999999612569809,0.34299999475479126,0.83,0.986,0.506,"[119.3,122.1,122.8,125.7,118.8,126.7]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.1,-0.1,-0.1,-0.1,-0.1,-0.1]",BN,,DSS,,,1.5376890127720884,,0.05927591372855189,0.3134166645409331,0.5,0.5245436482630039,0.5,37.03038960567972,NE,30.81926764901096,-105.07462043710916,122.3,126325
126324,30.819447312067787,-105.07462043710916,122.57,7.320000171661377,0.6700000166893005,3.0,0.1,0.0,0.0,,-0.1,0.01,0.0,,118.83,1246.39,476.0,237.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.11400000005960464,0.008999999612569809,0.34299999475479126,0.83,0.986,0.506,"[119.3,122.1,122.8,125.7,118.8,126.7]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.1,-0.1,-0.1,-0.1,-0.1,-0.1]",BN,,DSS,,,1.5376890127720884,,0.05927591372855189,0.3134166645409331,0.5,0.5245436482630039,0.5,37.03038960567972,NE,30.81926764901096,-105.07462043710916,122.3,126325
126855,30.819357480539374,-105.07462043710916,122.57,7.320000171661377,0.6700000166893005,3.0,0.1,0.0,0.0,,-0.1,0.01,0.0,,120.39,1247.95,476.0,238.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.11400000005960464,0.008999999612569809,0.34299999475479126,0.83,0.986,0.506,"[119.3,122.1,122.8,125.7,118.8,126.7]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.1,-0.1,-0.1,-0.1,-0.1,-0.1]",BN,,DSS,,,1.7885049622519906,,0.17617051104988313,0.2063455967290555,0.5,0.6836605307173231,0.5,38.23876148996268,NE,30.819177817482547,-105.07462043710916,124.44,126856
126855,30.819357480539374,-105.07462043710916,122.57,7.320000171661377,0.6700000166893005,3.0,0.1,0.0,0.0,,-0.1,0.01,0.0,,120.39,1247.95,476.0,238.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.11400000005960464,0.008999999612569809,0.34299999475479126,0.83,0.986,0.506,"[119.3,122.1,122.8,125.7,118.8,126.7]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.1,-0.1,-0.1,-0.1,-0.1,-0.1]",BN,,DSS,,,1.7885049622519906,,0.17617051104988313,0.2063455967290555,0.5,0.6836605307173231,0.5,38.23876148996268,NE,30.819177817482547,-105.07462043710916,124.44,126856
127386,30.81926764901096,-105.07462043710916,122.57,7.320000171661377,0.6700000166893005,3.0,0.1,0.0,0.0,,-0.1,0.01,0.0,,122.3,1249.86,476.0,239.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.11400000005960464,0.008999999612569809,0.34299999475479126,0.83,0.986,0.506,"[119.3,122.1,122.8,125.7,118.8,126.7]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.1,-0.1,-0.1,-0.1,-0.1,-0.1]",BN,,DSS,,,2.0392952213938997,,0.11244809277894109,0.12504617357994596,0.5,0.5904372260139494,0.5,34.755912553541656,NE,30.819087985954134,-105.07462043710916,126.46,127387
127386,30.81926764901096,-105.07462043710916,122.57,7.320000171661377,0.6700000166893005,3.0,0.1,0.0,0.0,,-0.1,0.01,0.0,,122.3,1249.86,476.0,239.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.11400000005960464,0.008999999612569809,0.34299999475479126,0.83,0.986,0.506,"[119.3,122.1,122.8,125.7,118.8,126.7]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.1,-0.1,-0.1,-0.1,-0.1,-0.1]",BN,,DSS,,,2.0392952213938997,,0.11244809277894109,0.12504617357994596,0.5,0.5904372260139494,0.5,34.755912553541656,NE,30.819087985954134,-105.07462043710916,126.46,127387
127917,30.819177817482547,-105.07462043710916,123.32,7.159999847412109,0.6499999761581421,3.0,0.1,0.0,0.0,,-0.1,0.01,0.0,,124.44,1252.0,476.0,240.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.3610000014305115,-0.24500000476837158,0.41999998688697815,0.482,0.64,0.407,"[120.3,122.9,123.2,126.6,119.5,127.4]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.1,-0.1,-0.1,-0.1,-0.1,-0.1]",BN,,DSS,,,2.1064632681345303,,0.03082900955853332,0.3570919882223902,0.5,0.2191020894901583,0.5,-109.39781244856019,S,30.81926764901096,-105.07444077405233,122.96,127386
