geoid,lat,lon,lstf,lstf_serc,lstf_arc,lstf_flag,ndvi,ndvi_serc,ndvi_arc,ndvi_flag,ndmi,ndmi_serc,ndmi_arc,ndmi_flag,elv_rel,elv,idx_row,idx_col,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,lstf_temporal,ndvi_temporal,ndmi_temporal,ls_land_cover,cl_land_cover,slope,aspect,tri,tpi,anisotropy,downhill_fraction,dom_angle_deg,dom_ptb_lat,dom_ptb_lon,dom_dir_elv,dd_geoid
1561314,30.81180191040039,-105.08738708496094,79.74,6.74,0.75,,0.09,-0.01,0.0,,-0.01,0.01,0.0,,28.85,1180.65,728.0,1938.0,,,,,,,0.05,-0.04,-0.94,0.9,0.92,0.0,,,,,,,,0.09,,0.08,0.5,167.75,30.81,-105.09,28.87,
1561315,30.81180191040039,-105.08737182617188,79.73,6.74,0.75,,0.09,-0.01,0.0,,-0.01,0.01,0.0,,28.82,1180.62,728.0,1939.0,,,,,,,0.05,-0.04,-0.94,0.9,0.92,0.0,,,,,,,,0.09,,0.1,0.5,169.43,30.81,-105.09,28.85,
1561316,30.81180191040039,-105.08736419677734,79.71,6.74,0.75,,0.09,-0.01,0.0,,-0.01,0.01,0.0,,28.76,1180.56,728.0,1940.0,,,,,,,0.05,-0.03,-0.94,0.9,0.93,0.0,,,,,,,,0.09,,0.05,0.5,220.83,30.81,-105.09,28.72,
1561317,30.81180191040039,-105.08735656738281,79.69,6.74,0.75,,0.09,-0.01,0.0,,-0.01,0.01,0.0,,28.71,1180.5,728.0,1941.0,,,,,,,0.05,-0.03,-0.94,0.9,0.93,0.0,,,,,,,,0.08,,0.05,0.5,268.22,30.81,-105.09,28.63,
1561318,30.81180191040039,-105.08734893798828,79.67,6.74,0.75,,0.09,-0.01,0.0,,0.0,0.01,0.0,,28.65,1180.45,728.0,1942.0,,,,,,,0.05,-0.03,-0.94,0.9,0.94,0.0,,,,,,,,0.08,,0.03,0.5,262.87,30.81,-105.09,28.58,
1561319,30.81180191040039,-105.08734130859375,79.66,6.74,0.75,,0.09,-0.01,0.0,,0.0,0.01,0.0,,28.6,1180.4,728.0,1943.0,,,,,,,0.05,-0.03,-0.94,0.9,0.94,0.0,,,,,,,,0.07,,0.04,0.5,297.51,30.81,-105.09,28.49,
1561320,30.81180191040039,-105.08732604980469,79.64,6.73,0.75,,0.09,-0.01,0.0,,0.0,0.01,0.0,,28.55,1180.35,728.0,1944.0,,,,,,,0.05,-0.02,-0.94,0.9,0.95,0.0,,,,,,,,0.06,,0.08,0.5,316.61,30.81,-105.09,28.46,
1561321,30.81180191040039,-105.08731842041016,79.62,6.73,0.75,,0.09,-0.01,0.0,,0.0,0.01,0.0,,28.51,1180.31,728.0,1945.0,,,,,,,0.05,-0.02,-0.94,0.9,0.96,0.0,,,,,,,,0.06,,0.04,0.5,353.87,30.81,-105.09,28.46,
1561322,30.81180191040039,-105.08731079101562,79.6,6.73,0.75,,0.09,-0.01,0.0,,0.0,0.01,0.0,,28.46,1180.26,728.0,1946.0,,,,,,,0.05,-0.02,-0.94,0.9,0.96,0.0,,,,,,,,0.06,,0.07,0.5,1.57,30.81,-105.09,28.41,
1561323,30.81180191040039,-105.0873031616211,79.58,6.74,0.75,,0.09,-0.01,0.0,,0.0,0.01,0.0,,28.41,1180.21,728.0,1947.0,,,,,,,0.05,-0.02,-0.95,0.89,0.96,0.0,,,,,,,,0.06,,0.15,0.38,332.08,30.81,-105.09,28.33,
